x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78
0.006878371389291755,-0.0005453513232620531,-0.0011914719015060223,-0.0013797847113680547,-0.0011591379623820603,-0.0007392591860017189,-0.00033439983427212337,-9.598554500893968e-5,-5.377149792571788e-5,-0.00012043790201925071,-0.00017669052585007414,-0.00016090532800673576,-9.341849386946131e-5,-3.442821903505148e-5,-2.294346886230964e-5,-4.8546257197456196e-5,-7.210019465495409e-5,-6.676631349850437e-5,-3.899950704949143e-5,-1.5419200082786943e-5,-1.4070119605320725e-5,-2.9046330254291795e-5,-4.034742255480059e-5,-3.532462875165681e-5,-1.9506752317694e-5,-8.31713587130026e-6,-1.0529564773642318e-5,-2.0609370944528517e-5,-2.6154992382203967e-5,-2.1071670071971015e-5,-1.0776820824556079e-5,-5.350090562599001e-6,-8.867685077401822e-6,-1.5980670854342556e-5,-1.8357111859567426e-5,-1.3423147045685681e-5,-6.368635805945364e-6,-4.092399258124166e-6,-7.99125146036305e-6,-1.3031807330759786e-5,-1.3485777195532547e-5,-8.87072780320636e-6,-4.008658114734485e-6,-3.6283876367698237e-6,-7.4765013746174155e-6,-1.0945801045253635e-5,-1.0168063968085423e-5,-5.979197410520705e-6,-2.73799196002269e-6,-3.5592427212928985e-6,-7.131716655305631e-6,-9.348921922851483e-6,-7.766173000413132e-6,-4.0693136975323214e-6,-2.093610756162513e-6,-3.68831609494706e-6,-6.860899514191264e-6,-8.050746095686974e-6,-5.948781934317638e-6,-2.780701008035765e-6,-1.8240304870692388e-6,-3.906601256720851e-6,-6.612791248015946e-6,-6.9512566314258074e-6,-4.532071110312827e-6,-1.8991937959118233e-6,-1.7671092741190608e-6,-4.137095266908603e-6,-6.360348851484823e-6,-6.010033880419442e-6,-3.417124805592175e-6,-1.2637538881483217e-6,-1.742502478802709e-6,-4.25154485372812e-6,-6.153096091859546e-6,-5.651289432138433e-6,-3.309840689768124e-6,-9.471958803234128e-7
-0.0005453513232620531,0.02773165197625117,-0.005899952423711332,-0.006242263088377091,-0.005006645270802757,-0.0031265057351163228,-0.0014131729302258472,-0.0004042671402235638,-0.0001868649547980766,-0.0004173093500335239,-0.000633760161357631,-0.0005901500960446149,-0.00034932043934284186,-0.00012966829911035928,-7.928397762334308e-5,-0.00016720256321516835,-0.0002537668685162358,-0.0002389493994198438,-0.00014167378672608376,-5.5982905699279646e-5,-4.8346850001147905e-5,-0.00010033835468692428,-0.00014147343469269574,-0.00012539914596025175,-7.000701891944129e-5,-2.9575204201873364e-5,-3.618463142938599e-5,-7.142166072710632e-5,-9.16347107944678e-5,-7.452344759725431e-5,-3.84001118576266e-5,-1.875267543305072e-5,-3.0553171729762006e-5,-5.5522627056658566e-5,-6.430724433134566e-5,-4.736829799480886e-5,-2.2565292531330934e-5,-1.4217400107691032e-5,-2.7619406906139372e-5,-4.5363397773688193e-5,-4.72417738138538e-5,-3.125111328783726e-5,-1.4126085080412445e-5,-1.2560114544422473e-5,-2.5912818691972836e-5,-3.815350055489476e-5,-3.561557269238734e-5,-2.103112060860097e-5,-9.594709468609332e-6,-1.2321010293680057e-5,-2.477333118307717e-5,-3.261625391733076e-5,-2.719463607881723e-5,-1.4288858384782087e-5,-7.300917928063793e-6,-1.2788537377612185e-5,-2.3872581306836635e-5,-2.8101406054030437e-5,-2.0820545023683287e-5,-9.745260681480785e-6,-6.34270284442332e-6,-1.3571628341359618e-5,-2.3036464854978906e-5,-2.4268036274800548e-5,-1.5851023936070378e-5,-6.642090348879267e-6,-6.142180409092163e-6,-1.4397124689674738e-5,-2.2174260744053046e-5,-2.097999453081225e-5,-1.1940510405181903e-5,-4.411550771769913e-6,-6.0640590252361596e-6,-1.4816106834678135e-5,-2.1461308659857693e-5,-1.9719773785484647e-5,-1.1551994359454148e-5,-3.3062201243442354e-6
-0.0011914719015060223,-0.005899952423711332,0.057810902751070065,-0.016839041713468506,-0.01267159581916687,-0.007717177604292266,-0.0035269043849594406,-0.00102802589608401,-0.0003170611219442179,-0.0006692367046217134,-0.0011155720444465606,-0.0011000558624572928,-0.0006825205010317699,-0.0002598192156085,-0.00013188219378447677,-0.00027229772389577797,-0.0004353660949399121,-0.0004264732058017968,-0.0002618051989169698,-0.00010393431853526782,-7.922286729017454e-5,-0.00016576370048621114,-0.00024199682721792192,-0.0002206962653461937,-0.00012635629413112486,-5.251730029067558e-5,-5.931147272565032e-5,-0.0001192077235941506,-0.00015683341669109663,-0.00013031853980247362,-6.832999766055655e-5,-3.2249046067502205e-5,-5.0410822393715844e-5,-9.334554836593736e-5,-0.00011016895196719238,-8.251044361912748e-5,-3.9692673856463636e-5,-2.395243295936349e-5,-4.5922358739088875e-5,-7.665654600019627e-5,-8.098763606028891e-5,-5.426669878285607e-5,-2.4562090841252628e-5,-2.097986105084421e-5,-4.3379531053695836e-5,-6.470125873779568e-5,-6.106765074441974e-5,-3.640564365092778e-5,-1.648084894017233e-5,-2.0579346244887864e-5,-4.1696375995807076e-5,-5.5438963206635084e-5,-4.6611463586633035e-5,-2.4646450566380244e-5,-1.2404385222252048e-5,-2.144039287861151e-5,-4.034129331329961e-5,-4.782860480270918e-5,-3.565349629052308e-5,-1.673960535323842e-5,-1.0706206406654967e-5,-2.285539377742854e-5,-3.9037404245112305e-5,-4.1326224568377054e-5,-2.710400542882145e-5,-1.1357009774950489e-5,-1.0357240513631829e-5,-2.434186324368026e-5,-3.7645083566879094e-5,-3.5721568831963384e-5,-2.0376495685904624e-5,-7.511776133767457e-6,-1.0253731159726446e-5,-2.513041340235587e-5,-3.6472816972367394e-5,-3.3546626303844866e-5,-1.9661661636932657e-5,-5.62847371689924e-6
-0.0013797847113680547,-0.006242263088377091,-0.016839041713468506,0.08557122100211262,-0.02593032863655125,-0.015436306428821355,-0.00728277031730887,-0.0022991196519509113,-0.00043199068422082945,-0.0005724492722459487,-0.0012104005615875568,-0.0013638749097291555,-0.0009344150880885747,-0.0003822183248096789,-0.00014221953466612487,-0.0002609109886297511,-0.0004670887788971052,-0.0004973997666349245,-0.00032776242039609017,-0.00013368995728540604,-7.992161929605935e-5,-0.00016643169342656495,-0.00026131935119738783,-0.0002526170966863374,-0.00015224956988267292,-6.222777122086904e-5,-5.9335021033418836e-5,-0.00012302846791472255,-0.00017043420800558976,-0.00014789893197446653,-8.039808616380833e-5,-3.5852418345408874e-5,-5.104903379703403e-5,-9.807777635619685e-5,-0.00012027057131023909,-9.31324307428081e-5,-4.57733232487023e-5,-2.5475345786274626e-5,-4.7269386460036625e-5,-8.152104039276599e-5,-8.8664352487226e-5,-6.0959632592542026e-5,-2.7731608591218324e-5,-2.1871047764493188e-5,-4.531196818055657e-5,-6.9369814692614e-5,-6.694088089133333e-5,-4.067907998382312e-5,-1.8177227040119953e-5,-2.142717310305199e-5,-4.40601080534169e-5,-5.975321233420003e-5,-5.1085830198743664e-5,-2.7362138676658207e-5,-1.3384020329348547e-5,-2.249043285992421e-5,-4.2991502955815744e-5,-5.170881736825606e-5,-3.90189374185325e-5,-1.8438634554269148e-5,-1.1394863334730863e-5,-2.4195807689505282e-5,-4.184747522673106e-5,-4.47375105677988e-5,-2.958332320583613e-5,-1.2398511417636142e-5,-1.0996967943742036e-5,-2.5979338610534194e-5,-4.0509208966065386e-5,-3.8664060102493384e-5,-2.2154912488762818e-5,-8.13293329361743e-6,-1.0946582668100986e-5,-2.6995329173078533e-5,-3.93327293942556e-5,-3.624940728724717e-5,-2.1266942941581424e-5,-6.090699446201169e-6
-0.0011591379623820603,-0.005006645270802757,-0.01267159581916687,-0.02593032863655125,0.09867904421612476,-0.02728346616285157,-0.013541775889346642,-0.004999991569781177,-0.0009999219099720155,-0.00018957818141297625,-0.0007004542490779549,-0.0011011574742233606,-0.0009248053391233927,-0.0004505197668582375,-0.00012881188844352252,-0.0001318933066823337,-0.0002973153125107983,-0.00037750028817524144,-0.0002860171306679566,-0.00012855362945605027,-5.2325914286681125e-5,-9.518940877765586e-5,-0.00017337371534380835,-0.0001884116340566596,-0.00012570584816253707,-5.2279883403826726e-5,-3.540064466962987e-5,-7.530157350838419e-5,-0.0001157736494557087,-0.00010943119839607224,-6.404816075994101e-5,-2.6714682827890187e-5,-3.054821889359114e-5,-6.261346451503084e-5,-8.287519147262115e-5,-6.850313807347972e-5,-3.531765748363552e-5,-1.7199228911531175e-5,-2.912030028571978e-5,-5.349522603928003e-5,-6.161714732166542e-5,-4.45515084649517e-5,-2.0640257234617893e-5,-1.3993025500988309e-5,-2.8760029227473624e-5,-4.635547998232846e-5,-4.671781661010004e-5,-2.948271098968114e-5,-1.2959757242480313e-5,-1.3576860825125075e-5,-2.864555408396675e-5,-4.0395202990063826e-5,-3.568051189438329e-5,-1.961138427196319e-5,-9.133094241060296e-6,-1.4434331133508655e-5,-2.844663867281046e-5,-3.5193806185908084e-5,-2.7194593109327233e-5,-1.3027780084812528e-5,-7.547841906618797e-6,-1.58117395281386e-5,-2.802623704288779e-5,-3.054104740237232e-5,-2.052109147176255e-5,-8.613006143044451e-6,-7.235432822146198e-6,-1.725437703097181e-5,-2.734132662868203e-5,-2.6393851212176675e-5,-1.525778434381042e-5,-5.558423189557396e-6,-7.275870137700202e-6,-1.8160966700410092e-5,-2.666321911026737e-5,-2.4668705050840368e-5,-1.4500790637017844e-5,-4.156488889251774e-6
-0.0007392591860017189,-0.0031265057351163228,-0.007717177604292266,-0.015436306428821355,-0.02728346616285157,0.09493188449420892,-0.023116932446875856,-0.010284053817081503,-0.0032914576073788115,-0.0005208634676731865,-0.00013724974989581926,-0.0004693133909446924,-0.00061198152421773,-0.00043021551833145806,-0.00017119192641720172,-5.675483153879446e-5,-9.81393804450645e-5,-0.000167859949827597,-0.00016509291707472064,-9.726534498442625e-5,-3.6866918319570515e-5,-3.169315893971378e-5,-6.409909773047756e-5,-8.456307770894304e-5,-6.817585339037677e-5,-3.377702789246447e-5,-1.5691952768638168e-5,-2.5747490859620948e-5,-4.521140825818225e-5,-4.924033998308821e-5,-3.331963185408032e-5,-1.4649859861336392e-5,-1.1105574857962838e-5,-2.2554165948040135e-5,-3.339065713589793e-5,-3.0778290517969066e-5,-1.7672676898640224e-5,-7.855788274999135e-6,-1.02633578206325e-5,-2.0096988240519225e-5,-2.528310240117971e-5,-1.9906513834483367e-5,-9.8504314128544e-6,-5.5071680657759085e-6,-1.0380984300285007e-5,-1.7939385572537987e-5,-1.9352136786782886e-5,-1.30386805312994e-5,-5.804185897113149e-6,-5.0063963448359185e-6,-1.0671017437544796e-5,-1.5939018669513958e-5,-1.4821862470098743e-5,-8.537305190335165e-6,-3.792787742561826e-6,-5.31340557874207e-6,-1.0877519958360477e-5,-1.4046090943222483e-5,-1.1268799577501897e-5,-5.549210806543209e-6,-2.9457788159142706e-6,-5.945548770479856e-6,-1.091916010331878e-5,-1.225324159072347e-5,-8.44418193012043e-6,-3.5704007964967713e-6,-2.7595544529603784e-6,-6.64149842000183e-6,-1.0782893654928752e-5,-1.0592210369568685e-5,-6.208821336414557e-6,-2.24124278749528e-6,-2.8054051673011385e-6,-7.12837066447978e-6,-1.0588035502840592e-5,-9.854434126615787e-6,-5.809872761524845e-6,-1.6675324048999373e-6
-0.00033439983427212337,-0.0014131729302258472,-0.0035269043849594406,-0.00728277031730887,-0.013541775889346642,-0.023116932446875856,0.08425160118256786,-0.019232945928243372,-0.008872441513957254,-0.00331022227401617,-0.000939149986052439,-0.00029176437217501045,-0.00027116332921908227,-0.000322295467611365,-0.00029198480113871864,-0.00021432877816135896,-0.0001468412061701425,-0.00010624898137594225,-8.315521895415484e-5,-6.979186348622024e-5,-6.512581698932222e-5,-6.600473149060772e-5,-6.390107306917138e-5,-5.271044770935128e-5,-3.654263121541069e-5,-2.6197778960052338e-5,-2.7567336312377495e-5,-3.51529266285636e-5,-3.7834736534647146e-5,-3.04735179041078e-5,-1.8852273260498578e-5,-1.3058900158888312e-5,-1.679995114338629e-5,-2.3968082521049572e-5,-2.5550051554970773e-5,-1.906703670393627e-5,-1.064859974184127e-5,-8.103480857092776e-6,-1.2730495488495748e-5,-1.8408670366056046e-5,-1.8422076655665377e-5,-1.2443367723492035e-5,-6.448717430486054e-6,-6.107239184918692e-6,-1.0895773467746e-5,-1.5014473596760703e-5,-1.3743355632610844e-5,-8.298831290791046e-6,-4.229115514658881e-6,-5.375914134023456e-6,-9.933920250919471e-6,-1.2629497490323372e-5,-1.0423797355162924e-5,-5.592871603267313e-6,-3.0940371008865905e-6,-5.232083448097111e-6,-9.337985278147427e-6,-1.0785410524773305e-5,-7.945061509977185e-6,-3.786687953887374e-6,-2.585653318106687e-6,-5.3602285604769086e-6,-8.893383407530177e-6,-9.270386390958435e-6,-6.032550114183931e-6,-2.564431331259398e-6,-2.4278502842041715e-6,-5.580932987106621e-6,-8.501973325411502e-6,-7.998670931072815e-6,-4.540851994621838e-6,-1.6938388139516475e-6,-2.348872690935119e-6,-5.686702748846118e-6,-8.202539909739423e-6,-7.522164229334911e-6,-4.402405096046991e-6,-1.2594671276307302e-6
-9.598554500893968e-5,-0.0004042671402235638,-0.00102802589608401,-0.0022991196519509113,-0.004999991569781177,-0.010284053817081503,-0.019232945928243372,0.07889977489573959,-0.019050123717279474,-0.010074934005484907,-0.004654971015388508,-0.0017473119547569815,-0.0005032545499955827,-0.00023237807311988972,-0.00037757771489447525,-0.0005338194168607303,-0.0005138699910751055,-0.0003427000548489395,-0.00015822666829052128,-7.798466754831046e-5,-0.00011336565332396274,-0.00018348504868840327,-0.00020112655915579828,-0.00014699281869759394,-7.210939145159389e-5,-3.8863001432642284e-5,-6.193527859850914e-5,-0.0001022936257686095,-0.00011191941556330168,-8.02392563303357e-5,-3.861611385709278e-5,-2.4399065613431522e-5,-4.3866874936478834e-5,-6.990716716236744e-5,-7.258859937226036e-5,-4.892246688221962e-5,-2.278136305189804e-5,-1.8263504457873793e-5,-3.552885719389913e-5,-5.295750650319047e-5,-5.097902730645952e-5,-3.1628136206977625e-5,-1.4578446628306093e-5,-1.5659233928292786e-5,-3.099625293795847e-5,-4.249290573304348e-5,-3.743370312454885e-5,-2.1132523576295472e-5,-1.0221691864760027e-5,-1.475354883204717e-5,-2.8210337701855296e-5,-3.526229863524524e-5,-2.8173139747997675e-5,-1.4392383047830278e-5,-8.003595085420713e-6,-1.4714852706888147e-5,-2.6297315515142722e-5,-2.9836895404982253e-5,-2.144038877579462e-5,-9.91291770703874e-6,-7.039648530187008e-6,-1.5107210442051122e-5,-2.483017859744657e-5,-2.551727664714126e-5,-1.6329953925325974e-5,-6.857429890988527e-6,-6.772847606732965e-6,-1.5629832919501097e-5,-2.358121691661401e-5,-2.1986246186794487e-5,-1.237285506911004e-5,-4.6237533683008914e-6,-6.566630585928258e-6,-1.5796453358533134e-5,-2.2659713583921334e-5,-2.071605929102482e-5,-1.2104636541619117e-5,-3.460411853076823e-6
-5.377149792571788e-5,-0.0001868649547980766,-0.0003170611219442179,-0.00043199068422082945,-0.0009999219099720155,-0.0032914576073788115,-0.008872441513957254,-0.019050123717279474,0.08285849188967179,-0.021978588864309152,-0.012278907795003458,-0.0058083687068105645,-0.0020389137858872488,-0.0004581601497345122,-0.0003124476485679856,-0.0006963398342240413,-0.0009166982896915855,-0.0007530816575280404,-0.0003927475670937328,-0.00013856642182031472,-0.0001289281883102847,-0.00026477830846946624,-0.00035299131580054184,-0.00029636064228869073,-0.0001567790434420684,-6.40847646267028e-5,-8.164591914908931e-5,-0.00015854249241049087,-0.00019773404382370034,-0.00015643542740361788,-7.841460320146824e-5,-3.814477149876386e-5,-6.321563103335057e-5,-0.00011334181517163858,-0.00012914721305472556,-9.36184384396746e-5,-4.393897425269558e-5,-2.787691357028862e-5,-5.4343134996898694e-5,-8.83820789726871e-5,-9.111318993142164e-5,-5.96798629369735e-5,-2.6783555459629048e-5,-2.4008823923071928e-5,-4.9416516453316374e-5,-7.226789697270528e-5,-6.702608582887753e-5,-3.933590254867171e-5,-1.790741062366243e-5,-2.311159536640772e-5,-4.630719322147537e-5,-6.06961087692283e-5,-5.039942019373733e-5,-2.6382664477956916e-5,-1.3489933176486968e-5,-2.366890377835515e-5,-4.405768267369112e-5,-5.171684280243256e-5,-3.8219135777718144e-5,-1.7850970520945907e-5,-1.1638118098198268e-5,-2.489769919633138e-5,-4.21814266455772e-5,-4.436114807797403e-5,-2.8929943061551126e-5,-1.2110302989775819e-5,-1.1216649984140574e-5,-2.6272642673879353e-5,-4.041943611579391e-5,-3.8206380229540236e-5,-2.1726204424954288e-5,-8.025278255262798e-6,-1.1042715962273068e-5,-2.6963231291687035e-5,-3.90362860031858e-5,-3.5856597004938e-5,-2.100081708801927e-5,-6.009869068087363e-6
-0.00012043790201925071,-0.0004173093500335239,-0.0006692367046217134,-0.0005724492722459487,-0.00018957818141297625,-0.0005208634676731865,-0.00331022227401617,-0.010074934005484907,-0.021978588864309152,0.09045572705959173,-0.024650022628924885,-0.013123147350887415,-0.005603611009659911,-0.0015684897441840056,-0.0002659914921301737,-0.000470833768840289,-0.0009445182180413185,-0.0010027599473745351,-0.0006460760860288043,-0.00024602447134720076,-0.00010409472519056264,-0.00021632696957375768,-0.00036374139299441994,-0.0003638731281376558,-0.00022402966508648374,-8.710554381062981e-5,-6.617811081015065e-5,-0.00014211640780601437,-0.00020739043399306613,-0.00018655794781512078,-0.00010397757275979322,-4.2961282150338145e-5,-5.36368469736349e-5,-0.00010757621493137729,-0.0001373878861450599,-0.00010984131283784953,-5.493677269845993e-5,-2.758248996746482e-5,-4.85862380602276e-5,-8.709408933089643e-5,-9.781606910943946e-5,-6.908585156868653e-5,-3.152610887447361e-5,-2.2375100110145324e-5,-4.621871946922274e-5,-7.301632060895936e-5,-7.227619008668253e-5,-4.4870094637802866e-5,-1.971217802944403e-5,-2.144505855695418e-5,-4.4849661131118225e-5,-6.232116510706932e-5,-5.435262932019887e-5,-2.9553539095565463e-5,-1.392735759562955e-5,-2.2446480450941657e-5,-4.37719749667512e-5,-5.3604515463616395e-5,-4.105909396564852e-5,-1.9552863245219297e-5,-1.1533532431023694e-5,-2.4263295482312295e-5,-4.265291810271689e-5,-4.617082851734071e-5,-3.084642037521655e-5,-1.2925748862459874e-5,-1.103054023979891e-5,-2.6227306736147466e-5,-4.134022203833805e-5,-3.9753174643130365e-5,-2.2908814645028327e-5,-8.359396450449693e-6,-1.1033938971176288e-5,-2.7438465533459608e-5,-4.01840091226397e-5,-3.7128537759890194e-5,-2.180969614731937e-5,-6.249471831370274e-6
