Site,Eigenvalue
1,4.0909279663804205e-9
2,2.662896685809555e-7
3,5.969913237414099e-7
4,3.1480986922618817e-6
5,1.898817129538157e-5
6,3.4506995369467714e-5
7,7.716962289137894e-5
8,0.00024323019757089984
9,0.00034764589033651664
10,0.0006328732578527515
11,0.0013982286792294503
12,0.0015785168302424085
13,0.0026415310638940007
14,0.004209922404779208
15,0.004285736595141625
16,0.005644213722316344
17,0.006706026496268901
18,0.0068407828337131585
19,0.007254403420383354
20,0.0075092426683950305
21,0.007825000776576234
22,0.008321140587014697
23,0.008490134060183433
24,0.009220270802879283
25,0.009742416449308186
26,0.010052929910921321
27,0.010930430104035898
28,0.011665526363281761
29,0.01185196911754729
30,0.012783310758149194
31,0.013715283577888818
32,0.014434129701438526
33,0.01466440056028169
34,0.015659611621717258
35,0.016707378576167144
36,0.017787245839574018
37,0.017848824427620934
38,0.018764123844424736
39,0.019420350976925738
40,0.020606335470586892
41,0.021339142643406014
42,0.022210069241688356
43,0.022419569190800362
44,0.02303252776950942
45,0.023750981247436815
46,0.024286415188130676
47,0.025007833339082727
48,0.02598162293090479
49,0.02710122481812615
50,0.027994851666593885
51,0.035024181158076546
52,0.043731940358258864
53,0.05963746078515326
54,0.0754531662375213
55,0.09161721026254321
56,0.10787398058733642
57,0.12512342911889812
58,0.14261832074018857
59,0.1609856993058434
60,0.17952472810353676
61,0.19890565298777105
62,0.21857873659240873
63,0.23897959290411047
64,0.25977639624640037
65,0.281231197386401
66,0.3038935687193242
67,0.325014722140127
68,0.3462813712327902
69,0.3700853764463202
70,0.395004777254595
71,0.42238134323069343
72,0.45278727045812994
73,0.48880738141901187
74,0.5347878621821447
75,0.6062728350501407
76,0.7670779875812048
77,1.1188447814521458
