Site,Eigenvalue
1,6.842224185984993e-11
2,6.867671433759797e-11
3,9.120112378659983e-10
4,9.35893503732807e-10
5,1.263023235327725e-9
6,1.2637174802793666e-9
7,2.3400244784282738e-8
8,2.483431987710554e-8
9,3.837316605398525e-8
10,3.840318092633631e-8
11,3.9832061562830377e-8
12,3.983714586368466e-8
13,5.2968794509386586e-8
14,5.300970008088979e-8
15,1.4018520250311735e-7
16,1.403705295623134e-7
17,1.9720561122959833e-7
18,2.1139403097294516e-7
19,2.243504534404268e-7
20,2.247456202878801e-7
21,2.321115164145483e-7
22,2.418907112569763e-7
23,5.672238161749602e-7
24,5.888020445796331e-7
25,6.522724663029458e-7
26,7.113923059447654e-7
27,7.634542202642148e-7
28,7.653969263529379e-7
29,7.784953704074121e-7
30,9.025180896907271e-7
31,1.115155060294688e-6
32,1.1234086481132438e-6
33,1.181700023484904e-6
34,1.5582349427640096e-6
35,1.785296062408319e-6
36,2.0287685024044644e-6
37,2.4745872761464977e-6
38,2.5541028842944427e-6
39,2.6478547435380166e-6
40,2.7100920512350544e-6
41,2.7868285138938274e-6
42,3.1297499735006373e-6
43,3.1782800149794977e-6
44,3.3800011708677976e-6
45,3.40798778062465e-6
46,3.7642940324300616e-6
47,4.183408736149758e-6
48,4.351769911237617e-6
49,4.488870191235892e-6
50,4.6691162741312175e-6
51,4.723790368165176e-6
52,5.347914442295463e-6
53,5.633473500102827e-6
54,6.012749651484781e-6
55,6.038057880324032e-6
56,6.4252499643447215e-6
57,7.629765015959705e-6
58,1.0193704868836171e-5
59,1.3995538474800928e-5
60,1.4255200486889843e-5
61,1.7279205528077666e-5
62,2.038509572399011e-5
63,2.4118272447944598e-5
64,3.222886403678222e-5
65,3.334453174810667e-5
66,3.824673625228956e-5
67,4.2490446593455245e-5
68,4.927342162285189e-5
69,5.767634138966189e-5
70,7.827591267195204e-5
71,9.164655681411963e-5
72,0.00013290452969209491
73,0.0001331140235169497
74,0.0001414584581430727
75,0.00014147920515327953
76,0.00014485080117161437
77,0.00014485676198363492
78,0.00014877174160156514
79,0.00016832588748958794
80,0.00018651446096612279
81,0.0002008217967968171
82,0.0002205621828569157
83,0.00022079117291433934
84,0.0002239281238947713
85,0.0002480219846370306
86,0.0002513672848988501
87,0.0002519857351388798
88,0.0002526535148793615
89,0.00026034568186992087
90,0.0002625717005338618
91,0.0002843771481982171
92,0.0002851452671737356
93,0.0003341499180177682
94,0.0003492504232859923
95,0.000361590313592865
96,0.00038941086535332
97,0.0004106144063391178
98,0.00043241147325478633
99,0.0005983925690794393
100,0.032884878831418746
101,0.0620195225909901
102,0.08933752782731813
103,0.15906424496704602
104,0.17796872565005134
105,0.19313489358331484
106,0.20323769598095315
