Site,LocalDensity
1,0.20124608597596577
2,0.15767556980646028
3,0.06140629714630608
4,0.026192817662473614
5,0.06140629715392907
6,0.15767556980842398
7,0.043678121550815394
8,0.043678121551017975
9,0.1838510296642784
10,0.1647556514906488
11,0.17547614476827267
12,0.17547614475760684
13,0.16475565149121654
14,0.06288197095860787
15,0.06288197096549637
16,0.19225941305431077
17,0.15485478983441184
18,0.14746766805851266
19,0.1474676680756954
20,0.15485478981483117
21,0.05207807934037774
22,0.05207807933457587
23,0.1897441792486921
24,0.16873118275588972
25,0.17041835057970353
26,0.17041835056574672
27,0.16873118279359678
28,0.06338949536497837
29,0.0633894953667238
30,0.1897441792303489
31,0.15385340596446062
32,0.1538534059534649
33,0.1538534059584123
34,0.1538534059604724
35,0.05337301929406945
36,0.053373019280981523
37,0.19225941311356287
38,0.17041835060878352
39,0.16873118273189397
40,0.1687311827136499
41,0.17041835063701505
42,0.06338949537307
43,0.06338949534920414
44,0.18385102967006683
45,0.1474676680936438
46,0.1548547898283607
47,0.15485478979836492
48,0.147467668062836
49,0.05207807934757495
50,0.05207807931787565
51,0.20124608605725708
52,0.17547614472710937
53,0.16475565150643182
54,0.16475565141593343
55,0.17547614471731826
56,0.06288197098550675
57,0.06288197093164472
58,0.026192817678627658
59,0.0614062970073844
60,0.15767556960919615
61,0.15767556974262445
62,0.061406297188686156
63,0.04367812150704387
64,0.04367812169754697
