Site,Eigenvalue
1,3.92450751777487e-10
2,3.957645122332981e-10
3,7.513359485617395e-10
4,7.573434680955458e-10
5,6.077023005902617e-9
6,6.080042456067403e-9
7,3.5087291744830215e-8
8,3.645941010942739e-8
9,1.1898118089908418e-7
10,1.1925827764619992e-7
11,1.2183859319948085e-7
12,1.2184097752005767e-7
13,4.181686354469207e-7
14,4.18539033090809e-7
15,6.212393357929284e-7
16,7.014469497038828e-7
17,7.346454570667501e-7
18,7.367804747459151e-7
19,1.88884462003336e-6
20,1.8957518266453596e-6
21,2.742552834150967e-6
22,3.783278881754136e-6
23,5.006204526147652e-6
24,5.7544166911959086e-6
25,5.95342715154685e-6
26,6.3701075606297534e-6
27,7.533550029175422e-6
28,7.657179431095614e-6
29,8.038122592564418e-6
30,9.321042270466827e-6
31,1.0151258869942804e-5
32,1.172213965620704e-5
33,1.176148129944424e-5
34,1.5374930979773913e-5
35,1.551542480007994e-5
36,1.6107813584609656e-5
37,1.8896587051080765e-5
38,2.0641161301495843e-5
39,2.0661085752110915e-5
40,2.296994009671083e-5
41,2.3186007798503557e-5
42,2.5662328623440132e-5
43,2.7464256483383648e-5
44,2.8655129583091737e-5
45,2.983843542174758e-5
46,3.0106177675157796e-5
47,3.034088091583295e-5
48,3.789522065074518e-5
49,3.7925984403362204e-5
50,4.613896266300514e-5
51,4.949109055961914e-5
52,5.0057802766830066e-5
53,5.408617195063715e-5
54,7.265090224013299e-5
55,7.84487753046382e-5
56,9.34189800419166e-5
57,9.377211714437933e-5
58,0.00010444541009430688
59,0.00010639247401117811
60,0.00013550548145908764
61,0.0001412716056398681
62,0.00015155490101164865
63,0.00015741861953630986
64,0.00017823746646207145
65,0.00020675883834895127
66,0.00020709169922072723
67,0.00020711093509188458
68,0.0002298619845607945
69,0.0002776530931391311
70,0.00029801299412074157
71,0.00032100178567222185
72,0.0004654868270432018
73,0.0004890434720150697
74,0.000510380431872628
75,0.0005133343970283702
76,0.0005339210599452102
77,0.000545940257615569
78,0.00057310304883097
79,0.0006979888177224117
80,0.0007723779000620237
81,0.0008448792475051741
82,0.0009729314351666164
83,0.0010052201753261145
84,0.0011095264515542953
85,0.0011631204848071835
86,0.0011719590596629464
87,0.0013354339241265598
88,0.0018244031854269124
89,0.0018402164870002281
90,0.002194133038156238
91,0.0024021839166454497
92,0.002430700754113165
93,0.0024451871327326145
94,0.00254326579113284
95,0.00280866114940303
96,0.0029090546957339083
97,0.003146864218686318
98,0.0033219653897632964
99,0.004635203318496826
100,0.060997294991733425
101,0.11106517429566198
102,0.16031876196735198
103,0.31520700501435267
104,0.368352912809405
105,0.4415566857913789
106,0.5966592970715678
