Site,Eigenvalue
1,2.132497012651202e-10
2,2.14073539038182e-10
3,1.1109113683252673e-9
4,1.1164346647592158e-9
5,1.2557766114116925e-9
6,1.258876867627879e-9
7,2.4161946957603964e-8
8,2.439355732108844e-8
9,1.0761257701407905e-7
10,1.0849374054858483e-7
11,1.102635290376434e-7
12,1.1026822796243401e-7
13,2.215633955583952e-7
14,2.2167454157947825e-7
15,2.919998394395495e-7
16,3.504745106695775e-7
17,4.20847037241192e-7
18,4.208828263469773e-7
19,6.517429501818891e-7
20,6.548877146156859e-7
21,1.003711586802706e-6
22,1.387065718225541e-6
23,2.223887461981704e-6
24,2.3144944274359435e-6
25,2.52416937410158e-6
26,2.93126010800416e-6
27,3.0709616601798286e-6
28,3.294260892238316e-6
29,3.4907278954381544e-6
30,4.380202112564202e-6
31,4.868632982474841e-6
32,5.303453161090179e-6
33,5.328071684426905e-6
34,5.554503370576228e-6
35,6.787593116845141e-6
36,6.836107444387887e-6
37,7.60768135933327e-6
38,8.682295937596392e-6
39,9.085990757060352e-6
40,9.49471183336588e-6
41,9.845078345848458e-6
42,1.0037472229173316e-5
43,1.1091551954003097e-5
44,1.166767661070745e-5
45,1.22905524534005e-5
46,1.3773877180326725e-5
47,1.4469203788755365e-5
48,1.588924708119958e-5
49,1.65925198757866e-5
50,2.4622113743711182e-5
51,2.896941292341713e-5
52,2.9755663344970552e-5
53,3.269449080529142e-5
54,3.285017928329914e-5
55,3.2851959374939396e-5
56,4.086678430454374e-5
57,4.155463793167077e-5
58,5.047878280908327e-5
59,5.2043190294026145e-5
60,5.651975917706909e-5
61,5.693448587505826e-5
62,6.298160564943594e-5
63,6.417452167655925e-5
64,6.88172002570792e-5
65,7.450556066894063e-5
66,8.962205848092364e-5
67,9.099662386086747e-5
68,9.426805750579644e-5
69,0.00012172702343751711
70,0.00016029173002769608
71,0.00018282386252516594
72,0.00021190712688650302
73,0.00022910842399894723
74,0.0002664153989785154
75,0.0002910433614307416
76,0.00029908875622551497
77,0.0003145786059388142
78,0.00034613699065243837
79,0.00034868525287999456
80,0.00036529346447568045
81,0.0004106446586503239
82,0.0004634029080351179
83,0.0005038983323778832
84,0.0006292354212686649
85,0.0006583254093075771
86,0.0006817619402509385
87,0.0006997140621794602
88,0.0008071002591746319
89,0.0008747593928484684
90,0.0008807453579716991
91,0.0009649420255782342
92,0.0010217302617205096
93,0.0010231591267530688
94,0.0013104053233996067
95,0.0013232359032009967
96,0.0014019931384693473
97,0.0014093019935953756
98,0.0014747322591700677
99,0.0015712413671328431
100,0.05274459746341468
101,0.09857088028431851
102,0.1429943517349787
103,0.2817144027629501
104,0.3247165386224253
105,0.37478762459606946
106,0.45000476042515203
