Site,Eigenvalue
1,3.3685242404143964e-11
2,3.394077917953932e-11
3,1.1038139600607428e-9
4,1.1102541025198846e-9
5,5.825294048891035e-9
6,5.8377703772250115e-9
7,9.644127088099636e-9
8,1.0319602459357035e-8
9,3.059142439226067e-8
10,3.065948803904817e-8
11,5.436820231159544e-8
12,5.483321073453582e-8
13,6.125972910828638e-8
14,6.127505606335456e-8
15,1.1248371219474288e-7
16,1.1260358177109755e-7
17,1.474203393312667e-7
18,1.5278630236679254e-7
19,1.5999602722934014e-7
20,1.6016516099617057e-7
21,1.7079066210836776e-7
22,1.7150270576569307e-7
23,6.213652709867304e-7
24,6.337125009949608e-7
25,6.743213057661681e-7
26,7.027699457286396e-7
27,7.132401540729747e-7
28,7.904237598559234e-7
29,1.1222217982726825e-6
30,1.1278197798741334e-6
31,1.1682106218367688e-6
32,1.7242759083788253e-6
33,2.294329702256897e-6
34,2.374341088131362e-6
35,2.8511947371893138e-6
36,2.9039162508101257e-6
37,3.0384993697318843e-6
38,3.1536081975694833e-6
39,3.202385867757039e-6
40,3.482181978982053e-6
41,3.486281550093e-6
42,3.742559187826082e-6
43,4.0035132049782535e-6
44,4.006904942621011e-6
45,4.258433916915455e-6
46,4.278778198510245e-6
47,4.309654435051363e-6
48,4.493104039728496e-6
49,4.619014923724349e-6
50,4.8269637107177905e-6
51,5.057008012187936e-6
52,5.2907405341614655e-6
53,5.901442661489474e-6
54,6.746347714611627e-6
55,6.9849867388206834e-6
56,7.158436351793418e-6
57,8.69386367698767e-6
58,9.734482742474984e-6
59,1.118813516319621e-5
60,1.1535324457650912e-5
61,1.5737801861676907e-5
62,1.940988107839289e-5
63,2.4082901810967706e-5
64,2.717968726104543e-5
65,2.99008626552305e-5
66,3.530052619647728e-5
67,3.838168139175244e-5
68,4.309331380133814e-5
69,4.512630023652536e-5
70,5.041954193991289e-5
71,0.00010214994236995699
72,0.0001443607308213133
73,0.0001467243763933485
74,0.00014732099732159832
75,0.00015966368202834726
76,0.00017387338375062465
77,0.00017512858648890424
78,0.00018286702082942458
79,0.00018966091457964704
80,0.0001898000974118547
81,0.0001911656305526391
82,0.00019198140809463057
83,0.0002106253698024736
84,0.00022743829563804123
85,0.0002307932108230543
86,0.00027859577773145104
87,0.00029375221090731883
88,0.0003172785130784918
89,0.00031953496609586727
90,0.00033130055000126857
91,0.0003332793819001856
92,0.0003445466654013335
93,0.00034853480594162107
94,0.00044439786722188406
95,0.0004747772012650733
96,0.00047792351036261263
97,0.0004793582218517853
98,0.00048635037616133296
99,0.0005537629157407731
100,0.039385270504448566
101,0.07423642720822327
102,0.10720728347776526
103,0.19675657076257702
104,0.22194004813010576
105,0.24417028378879693
106,0.2617652180720403
