Site,Eigenvalue
1,8.623329811298972e-11
2,8.775839810098197e-11
3,3.455042583868291e-10
4,3.976675484635656e-10
5,4.5083771097802935e-10
6,4.6391160412712853e-10
7,9.85034318547774e-9
8,9.852013484474907e-9
9,1.1813622831063338e-8
10,1.1845442522615737e-8
11,2.8531521594136682e-8
12,2.972727292528295e-8
13,3.11203292751185e-8
14,3.200336431371608e-8
15,5.1990864516469064e-8
16,5.200057272735241e-8
17,1.485888000722979e-7
18,1.6856053235216111e-7
19,2.2195851718381624e-7
20,2.2504743703481278e-7
21,2.443639793401409e-7
22,3.0967480022624376e-7
23,3.297090848895385e-7
24,3.335766296223306e-7
25,3.434582398233018e-7
26,4.4620699074180055e-7
27,4.4632621011796947e-7
28,5.670738720951519e-7
29,5.68807717882396e-7
30,6.813861449306081e-7
31,6.937652521147365e-7
32,7.821323639433834e-7
33,9.794852293115023e-7
34,1.0546782176496022e-6
35,1.1131344136055546e-6
36,1.1270275015223463e-6
37,1.1295674552102945e-6
38,1.1372053738485146e-6
39,1.1577476415677644e-6
40,1.1839566622426507e-6
41,1.1862199516975812e-6
42,1.3453218598627342e-6
43,1.3739321509940699e-6
44,1.509510078206474e-6
45,1.5252352301944766e-6
46,1.6558093719043609e-6
47,1.7693987986493842e-6
48,1.921739721798957e-6
49,1.9839788550240223e-6
50,2.0202687356670115e-6
51,2.0287565091337953e-6
52,2.3709909233600564e-6
53,2.5926974855744783e-6
54,4.19713525992404e-6
55,4.704655280953589e-6
56,5.08996743120268e-6
57,6.987204974329251e-6
58,7.17879956279583e-6
59,7.340784777327154e-6
60,1.143634132519311e-5
61,1.3613394898384497e-5
62,1.3725489965902127e-5
63,1.6299645327441926e-5
64,1.8829675753073665e-5
65,2.884204149616572e-5
66,2.929129658084097e-5
67,3.0410759110285802e-5
68,3.2985852374306334e-5
69,3.68054891580037e-5
70,3.7324386632620116e-5
71,4.050040041297909e-5
72,4.353651887361458e-5
73,4.458157179984896e-5
74,4.567390514547958e-5
75,4.6357099743251687e-5
76,4.976478519217087e-5
77,5.499525018973971e-5
78,5.876598015360912e-5
79,6.250691861667357e-5
80,8.190911302812728e-5
81,8.458991987789789e-5
82,0.00010948188589347883
83,0.00012558730538106424
84,0.00013220489119253586
85,0.00013977791627301422
86,0.00014411608829497836
87,0.000176877066965031
88,0.00019009632286432222
89,0.00022875048940929475
90,0.0002686293351033899
91,0.0002849132049195194
92,0.00033278113988215933
93,0.00035887732544464754
94,0.000426780342489817
95,0.0004847135216858858
96,0.0004880840130629421
97,0.0005405255483222913
98,0.0009495671352389543
99,0.001293279434872555
100,0.018081276521528685
101,0.03368875002611297
102,0.048443095191053984
103,0.08227879802731822
104,0.09081346035462912
105,0.09712218587984296
106,0.1015536819955069
