Site,Eigenvalue
1,1.0341484127641325e-10
2,1.0397334575788121e-10
3,4.903253032463587e-10
4,5.119970583222555e-10
5,5.204572993730704e-10
6,5.405713835766759e-10
7,1.587736524207193e-8
8,1.5878902322811586e-8
9,1.705700635371154e-8
10,1.708095457188716e-8
11,3.231014458653696e-8
12,3.3691690101571415e-8
13,4.283381647269685e-8
14,4.344621899851346e-8
15,6.554572734673696e-8
16,6.591554624940628e-8
17,2.442964650307794e-7
18,2.7196674830447947e-7
19,2.9919978042906113e-7
20,3.034748218442494e-7
21,3.29424043311599e-7
22,3.3486040660221153e-7
23,3.6783530337215356e-7
24,4.1138237595916434e-7
25,4.272368010291806e-7
26,4.3875241570964315e-7
27,4.4224804164606826e-7
28,6.932569870962051e-7
29,6.937799653459084e-7
30,7.951320673213436e-7
31,7.982498334955009e-7
32,9.009949062660248e-7
33,1.1162734663747156e-6
34,1.1300020064745202e-6
35,1.2248711840989472e-6
36,1.320957768860953e-6
37,1.3326770009253909e-6
38,1.4749510850189045e-6
39,1.4890757109208085e-6
40,1.5388584445511432e-6
41,1.66472298032364e-6
42,1.8378559151225873e-6
43,1.852040094068871e-6
44,1.9370130292881483e-6
45,2.091075878694785e-6
46,2.239124356765162e-6
47,2.2625699093023185e-6
48,2.5457125624856684e-6
49,2.668648470981612e-6
50,2.7849419141062006e-6
51,2.7997360978609967e-6
52,3.210045640821153e-6
53,3.6491876252416903e-6
54,4.310049787038775e-6
55,4.352164855813029e-6
56,5.798376679264537e-6
57,6.456727929634376e-6
58,8.725354296385555e-6
59,8.924450542908543e-6
60,9.142603006521746e-6
61,1.8736765810231657e-5
62,2.025972653308186e-5
63,2.1505241677245075e-5
64,2.1626191541795435e-5
65,3.3784886273238305e-5
66,3.9047505589412974e-5
67,4.122409844110384e-5
68,5.282364381501224e-5
69,5.343363816424379e-5
70,5.607317186391313e-5
71,5.672227846847461e-5
72,5.676023206253968e-5
73,6.322329619764988e-5
74,6.506666333751155e-5
75,7.206534926213914e-5
76,7.413599474306127e-5
77,7.649536218179255e-5
78,8.170445380812511e-5
79,8.233116652692182e-5
80,9.328244115135037e-5
81,0.00010863085521698337
82,0.00012889100060429147
83,0.00013180262886494925
84,0.0001444204952972729
85,0.00016178313725797146
86,0.0001657737956270679
87,0.0001706388342970306
88,0.00019409281438092092
89,0.0002461238745776206
90,0.0002689497315619404
91,0.0002884036211079111
92,0.00033744803381906583
93,0.00035810474161577095
94,0.0004140649715388134
95,0.00045304918490130246
96,0.0004826704092026899
97,0.000537027723287059
98,0.0008537134365373377
99,0.0011934130636139127
100,0.02207285644224422
101,0.041396836877682336
102,0.059536943451586076
103,0.10221994882917368
104,0.11315248841809673
105,0.12119743665021787
106,0.12652784838149728
