Site,Eigenvalue
1,1.019859870798317e-6
2,1.1089523817241884e-6
3,5.501330880946069e-5
4,6.384027055640563e-5
5,0.0005216325233124377
6,0.0006252452642837335
7,0.00229709929499537
8,0.0026744423906311455
9,0.005982697077855438
10,0.006546843509418953
11,0.009067382555007476
12,0.010509345220481523
13,0.01080010712158085
14,0.012775872745471616
15,0.014323485778689263
16,0.015496608003848653
17,0.01847073367821316
18,0.02154216081857847
19,0.023693417091152656
20,0.02608211975378081
21,0.026427358643766614
22,0.028655930841316603
23,0.03060825717905629
24,0.03795209876022957
25,0.08400453312520333
26,0.11764931098594124
27,0.16502541732094975
28,0.2050849624041908
29,0.2575991977988405
30,0.3106837758445878
31,0.36010488901454746
32,0.40416976551269773
33,0.476980493315231
34,0.5458563272831529
35,0.9325199411291725
