x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36
0.16128525118057532,-0.07979939359149521,-0.04288523271314009,-0.0023646244028888708,-0.005768033152518379,-0.009062115927370162,-0.0007876610686758656,-0.002176776029752747,-0.003975967244689654,-0.00035157211370770436,-0.0012337485645756152,-0.0022710671293267315,-0.00018042272760031286,-0.0008461787410048438,-0.0014964086646969271,-9.958852089286818e-5,-0.0006496873050526875,-0.0010811589783229214,-5.677899778280815e-5,-0.000538239308692387,-0.0008344673107046896,-3.2391889407387686e-5,-0.00047165546552466187,-0.0006777075705759195,-1.7831850669849936e-5,-0.00043206275309852493,-0.0005737713419571439,-8.982261493623023e-6,-0.00041075788427405446,-0.000503390097719339,-3.7103048440428887e-6,-0.00040345033786977347,-0.00045591632873952237,-9.077081382508068e-7,-0.00040830776203951147,-0.00042528513133471835
-0.07979939359149521,0.24176213012952144,-0.10963732091985581,-0.017197681684102517,-0.002168554675244655,-0.010818675998825938,-0.0023560554067176276,-0.001224297651801265,-0.004277980377671381,-0.0007801199366251899,-0.000835511867464861,-0.0023578188531064026,-0.00034471061148103055,-0.0006376016982825028,-0.00152636161395317,-0.00017409093150971833,-0.0005244895360747015,-0.001090573994541516,-9.370420962062642e-5,-0.0004558967491181676,-0.0008346193404788205,-5.139434084358574e-5,-0.00041382407588008707,-0.0006727843497142949,-2.7527195211207722e-5,-0.000389393180856068,-0.0005654406507927257,-1.3598840060996542e-5,-0.0003780610333587453,-0.0004922573261791074,-5.538994262033192e-6,-0.000377657221276001,-0.00044202820912919716,-1.3343420070532908e-6,-0.00038752279711706805,-0.0004083079248608651
-0.04288523271314009,-0.10963732091985581,0.22220768242600492,-0.05565830378385631,-0.010624380530189811,-7.750904446046647e-9,-0.0016775243525533612,-0.0008873785700017067,-1.650315659129653e-8,-0.00031508655726955603,-0.00021018231479284777,-1.0955082938024496e-8,-9.751134880517376e-5,-7.378992727849476e-5,-6.247669762093899e-8,-3.8274025497206376e-5,-3.203622649623761e-5,-8.339224810693935e-8,-1.709537960006835e-5,-1.5923160103431533e-5,-1.2187090689397273e-7,-8.138787857270291e-6,-8.688389969313537e-6,-1.8923948880145147e-7,-3.915842531843072e-6,-5.076704650511243e-6,-2.8629733905827237e-7,-1.7834657433241086e-6,-3.126402591091537e-6,-4.238131715850191e-7,-6.8351967293101e-7,-2.0079977957609962e-6,-6.210884944263251e-7,-1.5531991080786067e-7,-1.3347011862119285e-6,-9.080971679759076e-7
-0.0023646244028888708,-0.017197681684102517,-0.05565830378385631,0.21206247486543336,-0.07984922311773875,-0.027599147619352296,-0.0003548895263606744,-0.005788514069618292,-0.005997651375426474,-0.0001840739516951878,-0.002194019286252763,-0.00282825594751962,-0.0001032694434129483,-0.0012505250824073194,-0.001719584073972269,-6.0438325281186867e-5,-0.0008636423256032366,-0.0011934570570922426,-3.5883451148813195e-5,-0.0006684639500763728,-0.0009014061711968141,-2.1034957075144467e-5,-0.0005589909816744176,-0.0007237003231289479,-1.1800319249521962e-5,-0.0004951341938720794,-0.0006095809114944617,-6.019243936866703e-6,-0.000459195303459739,-0.0005345051825520197,-2.5075119736706064e-6,-0.0004427756438114133,-0.0004856094321355753,-6.206907857270183e-7,-0.00044202851604782656,-0.0004559170092370002
-0.005768033152518379,-0.002168554675244655,-0.010624380530189811,-0.07984922311773875,0.23264976251477068,-0.09079758658825515,-0.01716236639098455,-0.0008304253600421863,-0.008012926607336907,-0.0023381928211943515,-0.0006308128919842448,-0.003228458076913021,-0.0007668684070107068,-0.000516051947306112,-0.0018402229502743062,-0.0003337220040352945,-0.0004457814145732708,-0.0012304622722455333,-0.000164608911997835,-0.00040179052018288197,-0.0009045267330117235,-8.534256728387479e-5,-0.00037507316513982203,-0.0007094763704211804,-4.40181141739826e-5,-0.00036097831180254003,-0.000584244897917946,-2.1186733504055533e-5,-0.000357144242070645,-0.000500288510375424,-8.47452116183034e-6,-0.0003626497904787307,-0.00044277549011315087,-2.0077357454767464e-6,-0.000377656553602973,-0.00040345013794303164
-0.009062115927370162,-0.010818675998825938,-7.750904446046647e-9,-0.027599147619352296,-0.09079758658825515,0.22216274697604282,-0.06434885477543725,-0.013823305746558462,-7.371724768112653e-8,-0.0025838479610294784,-0.0014726973929501952,-1.2954113057239702e-7,-0.0005730599068031056,-0.000406332094465639,-2.3407194564561973e-7,-0.00019629705111050277,-0.00015819638014120951,-3.5803072236106903e-7,-8.180564928192413e-5,-7.410525023401893e-5,-5.611823992446308e-7,-3.747894191567791e-5,-3.900612589197161e-5,-8.188980176321303e-7,-1.7635948039579352e-5,-2.223497830644572e-5,-1.1777521436856508e-6,-7.930230387587223e-6,-1.3428400831724807e-5,-1.7089857134305886e-6,-3.0180447156830104e-6,-8.47467725260953e-6,-2.507852845515246e-6,-6.835616322697913e-7,-5.539312840446842e-6,-3.710629343428584e-6
-0.0007876610686758656,-0.0023560554067176276,-0.0016775243525533612,-0.0003548895263606744,-0.01716236639098455,-0.06434885477543725,0.21749996637340913,-0.0799534269050432,-0.02441592496279346,-0.00010509503564114231,-0.005824830662355784,-0.005077516747997585,-6.253051139254451e-5,-0.0022220245757255536,-0.0024053355762628237,-3.810112269106436e-5,-0.0012765280575992577,-0.001490759103146888,-2.3272316551484207e-5,-0.0008898871716844503,-0.0010602465452057286,-1.395695286793286e-5,-0.0006964032198223113,-0.0008226004671152976,-7.959924740605362e-6,-0.0005898319018705217,-0.0006795197934302971,-4.0941734648497485e-6,-0.0005302265624891889,-0.0005899689049210372,-1.7086850158803957e-6,-0.0005002883786352219,-0.0005345051202634427,-4.234440988404309e-7,-0.0004922574255161183,-0.0005033906043362124
-0.002176776029752747,-0.001224297651801265,-0.0008873785700017067,-0.005788514069618292,-0.0008304253600421863,-0.013823305746558462,-0.0799534269050432,0.22995106764898327,-0.08569640607692183,-0.017099992036440886,-0.0005120842483772314,-0.007031771351025673,-0.002309455124927806,-0.00044010629752391783,-0.0027908421193701682,-0.0007467521395078669,-0.00039441978038159964,-0.001595936600814224,-0.0003177056696544167,-0.0003658942112403085,-0.0010774173098178907,-0.00015115082636839305,-0.00034976625843158304,-0.0008014048417598618,-7.387816341559994e-5,-0.00034346877814092625,-0.0006362831414982312,-3.434134280842771e-5,-0.0003459279871563248,-0.0005302267990742182,-1.34283624645265e-5,-0.0003571443126007545,-0.00045919547949394013,-3.126266364547603e-6,-0.0003780601832375774,-0.0004107576073487246
-0.003975967244689654,-0.004277980377671381,-1.650315659129653e-8,-0.005997651375426474,-0.008012926607336907,-7.371724768112653e-8,-0.02441592496279346,-0.08569640607692183,0.22208317935976202,-0.06752647716203236,-0.015186088601373146,-3.2524057977378895e-7,-0.0030215685890410543,-0.0017949409172752923,-5.390104020341902e-7,-0.0007180185707594128,-0.00053389540323244,-8.595181927861795e-7,-0.00025587689472397757,-0.00021997661537806468,-1.283142885666333e-6,-0.00010790220131116912,-0.00010762980630329988,-1.9199695385496707e-6,-4.83908018703294e-5,-5.862698924480325e-5,-2.81585153327768e-6,-2.1160207221287974e-5,-3.4341316255820376e-5,-4.094233145929271e-6,-7.930332123595729e-6,-2.1186731518477164e-5,-6.019389476474846e-6,-1.7835910015584489e-6,-1.3599029991234746e-5,-8.98237810918745e-6
-0.00035157211370770436,-0.0007801199366251899,-0.00031508655726955603,-0.0001840739516951878,-0.0023381928211943515,-0.0025838479610294784,-0.00010509503564114231,-0.017099992036440886,-0.06752647716203236,0.21950842716446545,-0.08012210476179599,-0.023140102903082077,-3.919558767181974e-5,-0.005880786124086962,-0.004678456870662692,-2.4593062980166058e-5,-0.002264037999878857,-0.002214569619098203,-1.53455989116702e-5,-0.001315022028798421,-0.001388885521956429,-9.34970264998558e-6,-0.0009286655244181014,-0.0010066184985455529,-5.407778745594727e-6,-0.0007379039384562552,-0.0007998044458011888,-2.816128718621802e-6,-0.0006362828539622778,-0.0006795199211127728,-1.1776038335714611e-6,-0.0005842443896470484,-0.0006095808720848472,-2.8602089655049845e-7,-0.0005654403394030894,-0.0005737714916365794
-0.0012337485645756152,-0.000835511867464861,-0.00021018231479284777,-0.002194019286252763,-0.0006308128919842448,-0.0014726973929501952,-0.005824830662355784,-0.0005120842483772314,-0.015186088601373146,-0.08012210476179599,0.2287623301798371,-0.08337571697395971,-0.017004478423373562,-0.00039092525619982554,-0.00654593063513334,-0.002267024137379073,-0.0003607605225876137,-0.0025578135241354216,-0.0007178185131655745,-0.0003428931661050294,-0.0014579330093408005,-0.00029520523372558727,-0.0003346717228195073,-0.000986727865629547,-0.0001326872280123237,-0.00033495082976725543,-0.0007379036609646145,-5.862639143394688e-5,-0.00034346905459917143,-0.0005898322525356992,-2.2234691111108762e-5,-0.0003609789250350326,-0.0004951351588105279,-5.076649968946412e-6,-0.0003893927812086695,-0.00043206298091506834
-0.0022710671293267315,-0.0023578188531064026,-1.0955082938024496e-8,-0.00282825594751962,-0.003228458076913021,-1.2954113057239702e-7,-0.005077516747997585,-0.007031771351025673,-3.2524057977378895e-7,-0.023140102903082077,-0.08337571697395971,0.2219608352803976,-0.06901970832567147,-0.01592154062347144,-1.0276246097534747e-6,-0.0032437251208337903,-0.001990974814175789,-1.6170906323581535e-6,-0.0007917850556233702,-0.000618645249195332,-2.4547446740436074e-6,-0.00028325050732855295,-0.00026384671366411205,-3.6562290921804408e-6,-0.00011637558478419519,-0.00013268796263662952,-5.407828770134793e-6,-4.839131186258616e-5,-7.387797707417154e-5,-7.959958355646668e-6,-1.7636357876188447e-5,-4.401774035994732e-5,-1.180016427879127e-5,-3.9161278113791775e-6,-2.752697652813607e-5,-1.7831471364401774e-5
-0.00018042272760031286,-0.00034471061148103055,-9.751134880517376e-5,-0.0001032694434129483,-0.0007668684070107068,-0.0005730599068031056,-6.253051139254451e-5,-0.002309455124927806,-0.0030215685890410543,-3.919558767181974e-5,-0.017004478423373562,-0.06901970832567147,0.22052953983064144,-0.08037336986253374,-0.02254016026902539,-1.605581872009265e-5,-0.0059630618700033805,-0.004496579841623924,-1.0191109427043488e-5,-0.0023256531474331182,-0.0021367546224133893,-6.278964600411885e-6,-0.001371838947217749,-0.0013592119643490164,-3.6562466558809348e-6,-0.000986728573743989,-0.0010066177159386153,-1.9204124909744102e-6,-0.0008014049016727698,-0.000822600209929511,-8.187288448868735e-7,-0.0007094761323366838,-0.0007237004256672314,-1.8906385346184607e-7,-0.0006727842593357847,-0.0006777077356311945
-0.0008461787410048438,-0.0006376016982825028,-7.378992727849476e-5,-0.0012505250824073194,-0.000516051947306112,-0.000406332094465639,-0.0022220245757255536,-0.00044010629752391783,-0.0017949409172752923,-0.005880786124086962,-0.00039092525619982554,-0.01592154062347144,-0.08037336986253374,0.2281798638283087,-0.08207933951245841,-0.016865345737930693,-0.00033963262616562573,-0.006263207469467097,-0.002206192939388521,-0.0003297697722982884,-0.002417026530269664,-0.0006768886274022834,-0.00032822776905655493,-0.0013718388679592047,-0.00026384678318534804,-0.0003346716185243931,-0.0009286645862242454,-0.00010762929274527044,-0.00034976630133676245,-0.0006964025924664358,-3.90055190172961e-5,-0.0003750738631204398,-0.0005589920076333882,-8.688409986037926e-6,-0.000413823987542028,-0.0004716558665736753
-0.0014964086646969271,-0.00152636161395317,-6.247669762093899e-8,-0.001719584073972269,-0.0018402229502743062,-2.3407194564561973e-7,-0.0024053355762628237,-0.0027908421193701682,-5.390104020341902e-7,-0.004678456870662692,-0.00654593063513334,-1.0276246097534747e-6,-0.02254016026902539,-0.08207933951245841,0.22178152140749297,-0.06972701161934167,-0.016370455036073095,-2.745991134409098e-6,-0.003339438600308539,-0.002118935773179384,-4.192674327621604e-6,-0.0008144720644747555,-0.0006768881353097361,-6.2778655679357476e-6,-0.00028325064705170266,-0.0002952056590550117,-9.35022962586518e-6,-0.00010790309814558141,-0.00015115049530704805,-1.39570826622748e-5,-3.74798270056792e-5,-8.534211362842825e-5,-2.1034557112845076e-5,-8.139290141068178e-6,-5.13940164638127e-5,-3.239116211613269e-5
-9.958852089286818e-5,-0.00017409093150971833,-3.8274025497206376e-5,-6.0438325281186867e-5,-0.0003337220040352945,-0.00019629705111050277,-3.810112269106436e-5,-0.0007467521395078669,-0.0007180185707594128,-2.4593062980166058e-5,-0.002267024137379073,-0.0032437251208337903,-1.605581872009265e-5,-0.016865345737930693,-0.06972701161934167,0.22113292529534723,-0.08073845915238198,-0.022290381169515636,-6.736027950357548e-6,-0.006083356542757615,-0.004443057606814474,-4.192458998353299e-6,-0.0024170263006931814,-0.002136754520224493,-2.455352416996792e-6,-0.0014579332368835907,-0.0013888849484895022,-1.2842402366819439e-6,-0.001077416915198151,-0.001060245756707795,-5.612363214863025e-7,-0.000904526521875948,-0.0009014061294475573,-1.2193112752800772e-7,-0.0008346196264316652,-0.0008344674324075041
-0.0006496873050526875,-0.0005244895360747015,-3.203622649623761e-5,-0.0008636423256032366,-0.0004457814145732708,-0.00015819638014120951,-0.0012765280575992577,-0.00039441978038159964,-0.00053389540323244,-0.002264037999878857,-0.0003607605225876137,-0.001990974814175789,-0.0059630618700033805,-0.00033963262616562573,-0.016370455036073095,-0.08073845915238198,0.22793272612521753,-0.08127252558707743,-0.016664650068198547,-0.00032503942118022877,-0.0060833564275520335,-0.002118935652622722,-0.00032976956905884924,-0.0023256541019857496,-0.0006186455872505409,-0.00034289268113667226,-0.0013150220631368142,-0.0002199768373525729,-0.00036589395194300267,-0.000889885799866319,-7.410473639732351e-5,-0.00040179064708989465,-0.0006684645576699177,-1.5923319244298684e-5,-0.0004558969251801104,-0.000538239740858315
