Site,LocalDensity
1,0.032833901370670854
2,0.13081717113293329
3,0.26567875190820234
4,0.3785699898251511
5,0.41698321855959875
6,0.3855651173188538
7,0.34140940939685066
8,0.33501904716193787
9,0.3655275012373827
10,0.39375619476669
11,0.38965149866901666
12,0.36236348115027905
13,0.3455036718398103
14,0.35750070837347353
15,0.3823796794246827
16,0.39056816529846433
17,0.373310637242425
18,0.3517601583943509
19,0.35170427184510483
20,0.3732191036316042
21,0.390575888519602
22,0.3825164433128876
23,0.35765551534289536
24,0.3455583885870001
25,0.3623368441688535
26,0.3896747808372825
27,0.3939121619122134
28,0.3657503638362144
29,0.33517255629241194
30,0.34144946903672874
31,0.385593569600378
32,0.41712510498681804
33,0.3788135708024085
34,0.2659164221632633
35,0.1309560473988294
36,0.03287119465473083
