Site,LocalSpin
1,-9.781061377500677e-12
2,-2.4657539898775838e-11
3,-2.4942603538136154e-11
4,-1.0100739689100635e-11
5,1.0524265486866469e-11
6,1.7409858277250834e-13
7,-1.1051253770606728e-11
8,-1.4588954759422838e-11
9,-1.7722388727260116e-11
10,-3.3412096915388942e-12
11,8.579972104541303e-12
12,6.19010436423025e-12
13,-8.612446621034534e-12
14,-1.8229270866062396e-11
15,-9.294809430349457e-12
16,6.353715127610536e-12
17,1.3146589983491854e-11
18,4.6591135538620905e-12
19,-1.0327350434956764e-11
20,-1.567634692412526e-11
21,-4.5263944493234444e-12
22,1.2597455466241013e-11
23,1.8654623616189716e-11
24,8.034130449837178e-12
25,-6.974916761342507e-12
26,-9.731996822142934e-12
27,1.4439183425374817e-12
28,1.7602019217971428e-11
29,2.8914942118908696e-11
30,5.446521919198753e-12
31,-1.1617671366150193e-11
32,-1.2379728544324024e-11
33,9.518262464539129e-12
34,2.7329825276550974e-11
35,2.979341244318325e-11
36,1.4593829616993403e-11
