Site,LocalDensity
1,0.10350868593434606
2,0.2905547589353106
3,0.37713579291243937
4,0.3802390617509191
5,0.36647259137656724
6,0.3355806374490994
7,0.319840736492958
8,0.33985587233021664
9,0.35909828273664207
10,0.3618880736099575
11,0.35351078708486433
12,0.33609587528533186
13,0.3312674715005689
14,0.3457083049549564
15,0.35720885942346725
16,0.35803231465412294
17,0.34913061474258394
18,0.33487127889245294
19,0.3348712789280241
20,0.34913061474475826
21,0.3580323145875484
22,0.35720885934844354
23,0.3457083049707541
24,0.331267471452625
25,0.3360958752784853
26,0.35351078722834905
27,0.36188807362502406
28,0.3590982826696273
29,0.3398558724055012
30,0.31984073677365316
31,0.33558063724382126
32,0.3664725910402996
33,0.380239061689446
34,0.37713579227448984
35,0.2905547603350469
36,0.10350868533729629
