x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36
0.008208475342667713,-0.000718657930793577,-0.0015363648220908762,-0.0017227918904692235,-0.001373144750044477,-0.0007944300007285345,-0.00029483164268645794,-6.634529418157437e-5,-9.436427550601867e-5,-0.0002079545404653468,-0.00024520895203528596,-0.00017217546258240578,-6.845841821641793e-5,-2.4534719813293466e-5,-5.5153457299791044e-5,-0.00010211785723286436,-0.00010602485145640812,-6.415365351674801e-5,-2.190052125870238e-5,-1.8293693427508528e-5,-4.6660539401597516e-5,-6.833430455207267e-5,-5.7680249627702694e-5,-2.7228520604760243e-5,-9.760462729674429e-6,-2.0925071172292452e-5,-4.3860575148940366e-5,-5.06093449377437e-5,-3.344123782066166e-5,-1.1534183436626315e-5,-8.373869996734633e-6,-2.5625460078260096e-5,-4.280724939424977e-5,-4.2019271162350805e-5,-2.536276040481037e-5,-7.345508393734068e-6
-0.000718657930793577,0.03270429278323333,-0.007562324823871222,-0.007727834965576823,-0.005881749244499992,-0.0033445010551290608,-0.0012510965452866287,-0.00026789879725585186,-0.00030953739755253156,-0.0007199453175831067,-0.000876320117475627,-0.0006293041841890628,-0.00025553010075282987,-8.562843632258563e-5,-0.00018459525878929573,-0.0003514264630224775,-0.0003717291055153354,-0.0002285065625425244,-7.843598737112557e-5,-6.140072655087559e-5,-0.00015846385312203164,-0.0002356435772239942,-0.0002011064816013374,-9.584388089249604e-5,-3.367272281191929e-5,-7.080780182598186e-5,-0.0001502299728346237,-0.00017469641627452934,-0.00011611019208375195,-4.0133006377622074e-5,-2.8458170390557787e-5,-8.768276045135535e-5,-0.0001472364847150323,-0.00014487499706862888,-8.75436997904951e-5,-2.5365745688468115e-5
-0.0015363648220908762,-0.007562324823871222,0.06641968797705058,-0.020551641185993345,-0.014699735600656287,-0.00822440148734401,-0.003175023944259628,-0.0006578820957331829,-0.00042736757824458004,-0.001152171353409703,-0.0015326613120187887,-0.0011667202971727892,-0.0004998208849280563,-0.00014744243807341534,-0.0002796217635920049,-0.0005711085861098517,-0.000632753237004924,-0.00040410989738945603,-0.00014122217808803568,-9.493255238687542e-5,-0.0002511923660259712,-0.00038772998531528516,-0.0003397795845610465,-0.00016569558588337368,-5.579322959150602e-5,-0.0001116463990797333,-0.00024387125723920465,-0.0002889100417108953,-0.00019470996832698928,-6.768710483805195e-5,-4.541087839734964e-5,-0.00014215530899647889,-0.0002416779567079821,-0.00023917354846263622,-0.00014491340371601278,-4.2035319831092545e-5
-0.0017227918904692235,-0.007727834965576823,-0.020551641185993345,0.09464249745628779,-0.029552921908928175,-0.016402529377476344,-0.006778049096981434,-0.0015684356306870436,-0.00027485307178474203,-0.0009738200002793388,-0.0016484233621620055,-0.0014356074124797728,-0.0006919431869221555,-0.0001786133494825075,-0.00022602919647280622,-0.0005439108070650428,-0.0006695160146264795,-0.0004640042529149633,-0.00017096701228191234,-8.414097233050817e-5,-0.00023008619517595307,-0.00038611314274171417,-0.0003582564921380751,-0.00018354660234780044,-5.7644600793915064e-5,-0.0001018974548691881,-0.00023720984508801324,-0.00029256735314634645,-0.00020310097170000548,-7.162568115150683e-5,-4.2738120058338064e-5,-0.00013823994747084024,-0.0002413776302205927,-0.00024183693042296133,-0.00014737218481375823,-4.285160923422272e-5
-0.001373144750044477,-0.005881749244499992,-0.014699735600656287,-0.029552921908928175,0.10424580463989969,-0.02884211585536238,-0.013159055928305852,-0.004047563518111793,-0.0004385592378973855,-0.00022523309132367608,-0.0009464443416895222,-0.0011473935828339081,-0.0007085725824468381,-0.0002050719539629821,-7.801673877299103e-5,-0.0002622362590962068,-0.0004160246906803591,-0.0003434437596642391,-0.00014698728164474548,-4.299673870186906e-5,-0.00010573533351525711,-0.0002159569202211064,-0.0002271493292433723,-0.000129491885250365,-3.81500425227917e-5,-4.756712137145967e-5,-0.000127563563673596,-0.00017205418428121056,-0.00012727060385586488,-4.6663665713468336e-5,-2.170341039597747e-5,-7.474226306177158e-5,-0.00013844777485380353,-0.0001424595561190147,-8.789245917714095e-5,-2.5689462019834267e-5
-0.0007944300007285345,-0.0033445010551290608,-0.00822440148734401,-0.016402529377476344,-0.02884211585536238,0.09639127932971348,-0.023360458086025604,-0.00976896246816363,-0.002762070074302659,-0.0003249032732420064,-0.00016957580320092506,-0.00048456492115652984,-0.0005070508410192434,-0.00027677054502886283,-8.565080146834165e-5,-6.671484838427152e-5,-0.00013138354096760426,-0.0001485834967530329,-9.343216599068835e-5,-3.47561126130599e-5,-3.011164840260171e-5,-6.296933658595061e-5,-7.858755316544151e-5,-5.467106218053341e-5,-2.051699865354285e-5,-1.4287983613320466e-5,-3.662202366570986e-5,-5.4490097922730236e-5,-4.417641434492639e-5,-1.8012450990267652e-5,-6.726385515173349e-6,-2.1743362189665227e-5,-4.289445303731495e-5,-4.560992537872137e-5,-2.8590982372503686e-5,-8.413897338283573e-6
-0.00029483164268645794,-0.0012510965452866287,-0.003175023944259628,-0.006778049096981434,-0.013159055928305852,-0.023360458086025604,0.08535235234921265,-0.020219364463552107,-0.009417294772289295,-0.0035984212481096098,-0.0010722122131958502,-0.00031177584303288664,-0.0002537447480947709,-0.0003465024968266184,-0.0003766769298628604,-0.0003142102262962528,-0.00020313242687639146,-0.00010497356319390891,-6.586636572106165e-5,-8.727847406108788e-5,-0.00012566487484196948,-0.00013128716433416228,-9.243741841869437e-5,-4.321307106544576e-5,-2.687450557324137e-5,-5.131261067892124e-5,-8.288340857003131e-5,-8.379452048756153e-5,-5.134964711048697e-5,-1.8588858095372514e-5,-1.7906023765589602e-5,-4.6475240452882856e-5,-7.144122843036646e-5,-6.756329428284275e-5,-4.0072844157296e-5,-1.151862428953657e-5
-6.634529418157437e-5,-0.00026789879725585186,-0.0006578820957331829,-0.0015684356306870436,-0.004047563518111793,-0.00976896246816363,-0.020219364463552107,0.08375476179048447,-0.02195045469315581,-0.01179273854221681,-0.005366787317798205,-0.0018149501732182478,-0.00039299195990625673,-0.00030431375572781145,-0.0006870720567732517,-0.0008860873839777922,-0.0007020538133867064,-0.00033811650407076767,-0.0001086692450435728,-0.0001430127289350812,-0.0003084139047213328,-0.000384811800442733,-0.00028755141520003336,-0.0001226911070997355,-5.192951874687699e-5,-0.00012143513878975187,-0.0002282717285848072,-0.00024461988487261784,-0.0001525685606039492,-5.135360741816891e-5,-4.3952126814216546e-5,-0.00012688000867312792,-0.00020272502754000715,-0.0001944600292955382,-0.00011598796311576834,-3.340952667034209e-5
-9.436427550601867e-5,-0.00030953739755253156,-0.00042736757824458004,-0.00027485307178474203,-0.0004385592378973855,-0.002762070074302659,-0.009417294772289295,-0.02195045469315581,0.09138187530934566,-0.025950624852829045,-0.013959716293916005,-0.005965412795814786,-0.0016097208139130934,-0.0002519840431366663,-0.0006010387964500651,-0.0011998453876493967,-0.001219675006551904,-0.0007155764169345231,-0.0002229524784095694,-0.00013271830377447702,-0.0003653053677534569,-0.0005574965626601907,-0.0004782784102669768,-0.00022724968406185423,-7.12943742209354e-5,-0.0001406789086441428,-0.00031002618041884146,-0.0003658860020016355,-0.0002449492607626067,-8.395060879249311e-5,-5.429940863791051e-5,-0.00017179007537862495,-0.00029248643751787675,-0.0002889923614804707,-0.00017478533783081676,-5.0640038804305285e-5
-0.0002079545404653468,-0.0007199453175831067,-0.001152171353409703,-0.0009738200002793388,-0.00022523309132367608,-0.0003249032732420064,-0.0035984212481096098,-0.01179273854221681,-0.025950624852829045,0.09843904869167264,-0.027484466050076303,-0.013489955053601307,-0.004844618568201909,-0.0008534081044478867,-0.00017161318427475822,-0.0008144779458326704,-0.0012184959364487204,-0.0009291629797996981,-0.0003659969143543689,-8.70254544282533e-5,-0.0002158320208845286,-0.00044637023962845285,-0.0004629399293036866,-0.00025917816934069977,-7.249207925742827e-5,-8.379236561891206e-5,-0.00022982824118103056,-0.0003105597032618266,-0.00022895543617175207,-8.320076323204506e-5,-3.658423244840669e-5,-0.00012763387511509992,-0.00023763323772356924,-0.0002444342213789707,-0.00015060734826309648,-4.397441793867319e-5
