Site,LocalSpin
1,-6.778855254907512e-12
2,-5.91913323910731e-12
3,9.631217698369277e-12
4,4.0389861594158916e-12
5,9.43476199943838e-13
6,-1.2195616044818891e-11
7,5.214214910537196e-12
8,-2.414382062332354e-12
9,-6.370982560954808e-11
10,-2.3851867529678383e-11
11,-5.0623596894311396e-11
12,2.0200317167682474e-11
13,1.7082048066498342e-11
14,2.679107790531308e-12
15,-1.7013100331569023e-11
16,-6.498366271507693e-11
17,4.7027791395130546e-11
18,2.143370852625178e-11
19,7.093492894208162e-11
20,6.752458365317899e-11
21,-1.381269130112467e-11
22,-4.1384088698527556e-11
23,-1.8789894913385238e-11
24,-7.897439709446724e-13
25,5.491114594960934e-11
26,-3.848738673639373e-12
27,-3.3637507505129565e-11
28,9.657999329201945e-12
29,-9.989569385451883e-12
30,-5.3072787182706326e-11
31,3.7700609145504655e-12
32,6.707320823099639e-11
33,3.3039794327999854e-11
34,-4.794725857563988e-11
35,1.9783394851533524e-11
36,3.3685819841817534e-12
37,-1.6020440548816126e-10
38,6.416581066576908e-11
39,8.113772772431324e-11
40,-2.48367990380331e-11
41,1.469492760774536e-10
42,2.4480037384376398e-11
43,4.1068879228946035e-11
44,3.45856315295907e-13
45,-1.5323948992714708e-10
46,1.1834392656219577e-10
47,3.198029600569022e-12
48,7.404691708433816e-12
49,-4.874320518210918e-11
50,-5.101206428667274e-12
51,1.5661376997916578e-11
52,-3.05029502439988e-11
53,-9.502493713864085e-11
54,-1.5885055734303563e-11
55,-2.295572115207736e-12
56,-9.939087374012903e-12
57,-1.4528270920676808e-11
58,1.330256982926068e-11
59,1.282774684957216e-11
60,-9.401394403230236e-12
61,-2.164732107825901e-11
62,4.703984559086163e-11
63,1.5989800008287557e-11
64,-8.97911576713487e-11
65,1.4445555579506588e-10
66,-2.91173848540725e-10
67,-5.013911352224765e-12
68,6.289097383130491e-11
69,4.849774916740072e-11
70,8.078790048276802e-11
71,-4.406523256061131e-11
72,2.6074553956119605e-11
73,-7.466243153872525e-11
74,1.8184165939027787e-10
75,7.637085237866925e-11
76,-6.144000749629078e-11
77,-1.9690446997136784e-11
78,-2.320228210950237e-11
