Site,LocalDensity
1,0.333053104375508
2,0.3844876414405617
3,0.3398614266593183
4,0.1788231545969331
5,0.33717714062257576
6,0.38423952891241564
7,0.25717780761342346
8,0.2549210653325014
9,0.3560288317854635
10,0.38265805973106365
11,0.38391717774587264
12,0.3848830203276338
13,0.3848251270397606
14,0.23882847162348828
15,0.24060081620461674
16,0.3526944921646666
17,0.37334185859032015
18,0.3794622546190366
19,0.3789015603451431
20,0.3762894103187372
21,0.2258246720701119
22,0.22673721718001522
23,0.34911671138640876
24,0.3886455881674243
25,0.38254188573498105
26,0.38549613458803644
27,0.38735366551864286
28,0.24252727658457396
29,0.24403761606024696
30,0.3085531530146415
31,0.34127841979682605
32,0.3934127794971323
33,0.3897468853964554
34,0.345277347347578
35,0.23535605138312024
36,0.23224875019431182
37,0.3129394936013127
38,0.3369063750152043
39,0.3406488755517611
40,0.34342577226866294
41,0.3599619895268325
42,0.19053300825775987
43,0.2087079650815033
44,0.3616067893140438
45,0.41874630299753857
46,0.34161561845238514
47,0.3670692095076835
48,0.4039029111495741
49,0.26284477694002367
50,0.2655202565483956
51,0.3635364024009576
52,0.3862494848530039
53,0.4061659595649523
54,0.39891708920948665
55,0.39145536612780996
56,0.2569353446416425
57,0.25650636105214963
58,0.3706905636841641
59,0.4014348592994798
60,0.39982030113289535
61,0.3973867784722689
62,0.4006478914907452
63,0.2619368134921427
64,0.2561437386656322
65,0.35056631476745914
66,0.399880808211298
67,0.3990556436234178
68,0.4020958066378311
69,0.40103288445869656
70,0.2559617662813745
71,0.25983658655516106
72,0.18956868648400124
73,0.36443234179305084
74,0.3999680229516031
75,0.39834328689129844
76,0.36784477610371474
77,0.2837505366600727
78,0.2850801363112068
