Site,LocalSpin
1,-0.00978912161464926
2,-0.02118527828433206
3,-0.010676304958586569
4,0.0308779304975417
5,0.07236317504072118
6,0.02939972092011035
7,-0.016737317993366873
8,0.043477218353609015
9,0.028426356062712738
10,0.04970490492675753
11,0.030930275468929454
12,-0.017757295913325987
13,0.010135704674139878
14,0.033182632311842944
15,-0.005568038982249912
16,0.050374168141853026
17,0.03200708338692786
18,0.0021688283793627593
19,0.013803502272737054
20,0.01013122932272464
21,0.0037467213483654534
22,0.004604710463163203
23,0.026758164480507007
24,0.013129533658778515
25,0.04025613088139502
26,-0.011805142944705686
27,-0.0006118383775949791
28,0.010399586103232739
29,-0.015109458220475859
30,0.13747046305474667
31,0.08217198377354219
32,0.02529815305471045
33,0.053238124607366336
34,0.11465211524586433
35,0.02179924388116996
36,0.04607404680331683
37,0.15922313877237515
38,0.16771375002774708
39,0.17276076600281437
40,0.14506141983199947
41,0.1139480599872369
42,0.09601496662675205
43,0.0630408256301821
44,-0.028608932536377557
45,-0.05797018567063126
46,0.06434507689563997
47,0.01752946529967532
48,-0.058795218638472924
49,-0.024659472416268827
50,-0.042526921243758294
51,-0.06682102678597082
52,-0.026166446927463904
53,-0.008846341080766394
54,0.016006654458164776
55,-0.022538197337737893
56,0.0019822678752858414
57,0.011463203803141942
58,-0.012902140983386245
59,-0.030099430725723835
60,-0.06944759623055265
61,-0.05971136246986199
62,-0.02363049326525778
63,-0.03903418198044425
64,-0.0301130314004884
65,0.023925091286277716
66,0.008680641117029084
67,-0.007252351256051561
68,-0.010928625826439374
69,0.009579152890361162
70,0.0027757227299921657
71,0.0009225568822064922
72,-0.030601840744815884
73,-0.06344239692460464
74,-0.03763223267875364
75,-0.04184216487757894
76,-0.07771196973537975
77,-0.050936871511831676
78,-0.06009523669512855
