Site,LocalSpin
1,2.5751021801023732e-8
2,-5.4720153692955353e-8
3,-2.218295633987788e-8
4,-6.082902384053901e-9
5,-2.5039061241072247e-8
6,-6.297082765990836e-8
7,-1.8342356605804966e-8
8,-2.0697353064931534e-8
9,1.7031088440574993e-8
10,-1.1915034731210458e-7
11,-8.807295656730434e-8
12,-9.370723218481711e-8
13,-1.0080083326464095e-7
14,-5.360950620858374e-8
15,-5.0148774075484885e-8
16,-3.398869518285152e-8
17,-3.569674553079307e-8
18,-6.285278456801103e-8
19,-6.138042872723503e-8
20,-4.057969452857732e-8
21,-2.6277259991336492e-8
22,-2.7144623680601136e-8
23,3.8327768451270074e-8
24,-7.060019018087585e-8
25,-5.929353100974152e-8
26,-6.147722668566853e-8
27,-1.0222741262626054e-7
28,-5.6494587827708355e-8
29,-5.946389382753758e-8
30,-5.781928545820255e-8
31,-5.226038896065426e-8
32,2.9779116925294095e-8
33,-2.1070863522980545e-8
34,2.7824051211179698e-8
35,1.9848928161325417e-8
36,3.735647638955439e-9
37,8.633238183488567e-9
38,1.4497987012692558e-8
39,4.687997889855575e-8
40,2.9869894667522394e-8
41,2.467961470756808e-9
42,1.820513623101115e-8
43,1.523477036181552e-8
44,-2.640349951226852e-8
45,8.490142065126509e-8
46,9.31201823354126e-9
47,2.546818136628743e-8
48,7.533491524445314e-8
49,2.639910612834973e-8
50,2.676746444423349e-8
51,1.3868631800954287e-8
52,5.981122489118163e-8
53,1.0926161034687264e-7
54,7.316494098606187e-8
55,7.103055266383252e-8
56,4.5385144599850044e-8
57,4.0604002705047234e-8
58,1.8420513899228838e-8
59,2.3058957783528923e-8
60,1.6403108571419404e-8
61,2.862043587490357e-8
62,1.4195328166878546e-8
63,1.3062611455818996e-8
64,1.1711348744956856e-8
65,-1.4443552841613738e-8
66,6.175326863871105e-8
67,6.489761124344978e-8
68,7.079580705846594e-8
69,6.157431351515334e-8
70,3.4166780295058355e-8
71,3.5981473651988085e-8
72,5.360903838113945e-9
73,2.0263512668346545e-8
74,4.863169916189551e-8
75,4.573406565778214e-8
76,1.902732799058787e-8
77,1.6466612908503167e-8
78,1.547843889518341e-8
