Site,LocalDensity
1,0.34704237023552836
2,0.40368505410461863
3,0.31125154824273804
4,0.15183319409000007
5,0.311245330621187
6,0.4036843126776357
7,0.23418741678974386
8,0.2341830333971283
9,0.38149406329472796
10,0.4050789341230916
11,0.39667378302236384
12,0.39666984248659837
13,0.40507376597839123
14,0.2276221253344838
15,0.22761944010724303
16,0.3699540820591163
17,0.38790563997449234
18,0.39613037416789987
19,0.3961287724283568
20,0.3879139185593077
21,0.2105130043778227
22,0.2105271803719022
23,0.35949802768675365
24,0.3973047273116516
25,0.40008107917181596
26,0.4000742334734911
27,0.39732940751097495
28,0.2253823362718108
29,0.22539909815101872
30,0.3611116290529615
31,0.39514258730906315
32,0.3951843858792168
33,0.3951947018494
34,0.3951784901715482
35,0.22207823423514922
36,0.22210348670103408
37,0.3611101697826038
38,0.3946575822046243
39,0.39463966230060665
40,0.3946552364971846
41,0.39469634551761784
42,0.22330868363779233
43,0.2233399842902432
44,0.35948969837277844
45,0.39519205270916946
46,0.39512323210426337
47,0.39513849148361785
48,0.39522646460207045
49,0.22207047046667863
50,0.22209641302510183
51,0.3699386198712983
52,0.40006744952868445
53,0.3972790172851905
54,0.397298519872053
55,0.400102319112515
56,0.22536188385078376
57,0.22538646905278575
58,0.3814835755228672
59,0.39612259612126277
60,0.3878892234194987
61,0.387900523719301
62,0.39614325259810923
63,0.2105065777064817
64,0.2105159755839169
65,0.3470435200442188
66,0.3966608891197927
67,0.40506064216821075
68,0.40507095617465483
69,0.3966684469071155
70,0.22760809248818764
71,0.2276137656879544
72,0.15182270388696986
73,0.3112457616337282
74,0.40368375594102096
75,0.40368555660535343
76,0.3112424130307921
77,0.23418766025906204
78,0.23418573459345104
