Site,LocalSpin
1,-0.0021849659840462166
2,0.02389739839660681
3,0.013545910151163782
4,0.003918870357290948
5,0.012299685274779351
6,0.020682555495615935
7,0.010847498894649095
8,0.009849597386820952
9,0.024790524646990126
10,0.0150767493732753
11,0.016550386880031298
12,0.014929996176834085
13,0.022273466958432117
14,0.009627091757914244
15,0.011061574347562782
16,0.029974893062025484
17,0.0172998908590196
18,-0.0019715393232391156
19,-0.0002947948784600669
20,0.014905239947257499
21,0.0031603564102167104
22,0.0025499292696166257
23,0.022270609876429683
24,0.012825035485118517
25,0.021805522064801748
26,0.027161884232693636
27,0.009953184005881485
28,0.009534321165670755
29,0.010557633142070496
30,0.002332322130666139
31,0.004224118264627471
32,0.01784225500045027
33,0.010284585743452665
34,0.005461926362349357
35,0.005893096974351572
36,0.004186218970854407
37,0.002311577434543488
38,0.025278742508479342
39,0.022400694071833444
40,0.025266210940253955
41,0.022379041246368647
42,0.015174689321327102
43,0.015169705251348928
44,0.022231501861296882
45,0.010253436921763458
46,0.005509702401146891
47,0.004180034172088479
48,0.017899203097472317
49,0.004192086532935132
50,0.005892789779537842
51,0.02996356090040598
52,0.02720717126288239
53,0.009912093800305975
54,0.01287372642195205
55,0.02178935577283197
56,0.01055381633346343
57,0.009542715199491113
58,0.02478698654970208
59,-0.00027630729804440957
60,0.014862760567398917
61,0.01731166150667345
62,-0.0019642405455108348
63,0.002535072255475422
64,0.0031744426548299893
65,-0.002189177953852753
66,0.01494763343213684
67,0.022358023827567977
68,0.01501661133614821
69,0.0165609991934942
70,0.011096766762864096
71,0.009605371658973225
72,0.003918660317660958
73,0.012284202544579037
74,0.020652196443940854
75,0.023942900847434237
76,0.013566950067034619
77,0.00984116530834207
78,0.010862436411641075
