Site,Eigenvalue
1,5.432200540388665e-15
2,5.714120486808619e-15
3,1.8727584702023647e-12
4,1.8861965445351047e-12
5,4.679535088282764e-11
6,4.685675956147503e-11
7,4.607158256653987e-10
8,4.607392150985327e-10
9,2.244555819341578e-9
10,2.2713824109770246e-9
11,2.3479249876603668e-9
12,2.3811404047778283e-9
13,2.3811640516552287e-9
14,2.8615854077406755e-9
15,3.0056841653193928e-9
16,3.2402168685997095e-9
17,3.5426797353509026e-9
18,3.892491115867921e-9
19,4.422973674783783e-9
20,5.038503706248232e-9
21,5.790800094502833e-9
22,6.699078392349527e-9
23,7.2856506251339434e-9
24,7.293300081365618e-9
25,7.794668931218974e-9
26,9.05406523386897e-9
27,1.0433942279531201e-8
28,1.1775778171554906e-8
29,1.299916801918658e-8
30,1.4395171238094662e-8
31,1.633047644933005e-8
32,1.8895764013786315e-8
33,2.211588753793503e-8
34,2.6152136844005812e-8
35,3.124155584740025e-8
36,3.774392750655679e-8
37,4.622980581234271e-8
38,5.739987142521155e-8
39,7.258406964466166e-8
40,9.373680405372982e-8
41,1.2326208200461e-7
42,1.6625690207015515e-7
43,2.273605076992539e-7
44,3.137574974731127e-7
45,4.5430393169697365e-7
46,6.540910694986757e-7
47,9.966595504202649e-7
48,1.7423146445140243e-6
49,2.7474859349507817e-6
50,5.322016613006143e-6
51,1.0854645416418337e-5
52,1.4626452943889869e-5
53,3.417242637312702e-5
54,4.655627384087296e-5
55,5.447449498347597e-5
56,0.00019142961032462598
57,0.00020226394777284068
58,0.0003160754728593391
59,0.0026523501660772114
60,0.0026559442339924634
61,0.003232660145555548
62,0.004255364305807197
63,0.004255924494047001
