Site,Eigenvalue
1,1.2113796434449434e-11
2,1.2760147057647072e-11
3,8.202203643476361e-10
4,8.631577537659618e-10
5,1.0463255754655045e-8
6,1.11067529771214e-8
7,6.230457868807466e-8
8,6.716533524913154e-8
9,2.3662312461100104e-7
10,2.595400829248057e-7
11,6.653706947509767e-7
12,7.395545047752636e-7
13,1.5044897530065325e-6
14,1.6775095144169605e-6
15,2.863564953525655e-6
16,3.1641699358135595e-6
17,4.584350466738401e-6
18,4.859161146243751e-6
19,4.989256742444903e-6
20,5.020978153929008e-6
21,5.349899025365322e-6
22,5.498550714878068e-6
23,6.651095524606068e-6
24,6.8319192893695196e-6
25,7.176342615277136e-6
26,7.584774502289817e-6
27,8.017932730153094e-6
28,8.309713711182703e-6
29,8.955717574537721e-6
30,9.607950681514222e-6
31,1.0288378613541408e-5
32,1.0989041332204258e-5
33,1.170632078530794e-5
34,1.2187677284387172e-5
35,1.2436582624559974e-5
36,1.3171249206579687e-5
37,1.391253623203397e-5
38,1.4652662973811264e-5
39,1.5132710366359482e-5
40,1.538406115113422e-5
41,1.6117293483597025e-5
42,1.68295660974616e-5
43,1.7481162612556457e-5
44,1.8191704645513253e-5
45,1.8860005299771112e-5
46,1.9221253605302487e-5
47,1.9862235510290862e-5
48,2.0766618114180412e-5
49,2.081270708366426e-5
50,2.125648034552854e-5
51,2.2732854886913506e-5
52,2.276392016585493e-5
53,2.2905662235358817e-5
54,2.455981040850516e-5
55,2.48596742164794e-5
56,2.489654278815428e-5
57,0.018492889404077978
58,0.036368841180158235
59,0.05368554472073586
60,0.10054866594604106
61,0.11515869169085631
62,0.12866037022970275
63,0.1407338381423045
