Site,Eigenvalue
1,1.5368265480301655e-13
2,9.238709547385398e-12
3,4.838646918452176e-11
4,1.0626940541356076e-10
5,9.656106735873473e-10
6,1.0727149824514037e-9
7,8.23469939396294e-9
8,8.772379214914362e-9
9,3.9773725956671507e-8
10,4.070719391998923e-8
11,1.260462401717767e-7
12,1.282745918521101e-7
13,2.7365185698884736e-7
14,2.757670045000682e-7
15,2.7868598438025337e-7
16,2.802092063092306e-7
17,2.900896963491719e-7
18,2.9989794378754623e-7
19,3.137637081333937e-7
20,3.2896969332597185e-7
21,3.393126073217012e-7
22,3.426899431091677e-7
23,3.496617120753887e-7
24,3.6057457162891076e-7
25,3.7619371416920924e-7
26,3.845542405212182e-7
27,3.978681647105295e-7
28,4.08181540472455e-7
29,4.2509518214581826e-7
30,4.4381605359983574e-7
31,4.6883927591376413e-7
32,4.998007545085813e-7
33,5.385807034363675e-7
34,5.828730756309633e-7
35,6.422060363905118e-7
36,7.100703833848609e-7
37,8.01848024349471e-7
38,9.111822410656735e-7
39,1.0609416148032738e-6
40,1.2434267067446255e-6
41,1.5026883828309705e-6
42,1.8355989411652234e-6
43,2.317441664250352e-6
44,2.9531153575781773e-6
45,4.050955007750196e-6
46,5.646017808544688e-6
47,8.58232140916781e-6
48,1.3206080978352333e-5
49,2.1764552817036533e-5
50,3.6922134329778464e-5
51,6.288214810942835e-5
52,0.00010559270823413249
53,0.00017949670831050776
54,0.00026941365311046814
55,0.0004303048590669146
56,0.0006091190384979519
57,0.005681579674852131
58,0.009045641918454085
59,0.01256360940130463
60,0.016998634161004115
61,0.019030551638355726
62,0.020120017374671686
63,0.020813501370244503
