nohup: ignoring input
J = 0.0
After sweep 7 energy=-30.812940456020506  maxlinkdim=200 maxerr=4.82E-04 time=14.822
After sweep 8 energy=-30.841118920563304  maxlinkdim=250 maxerr=3.67E-04 time=12.697
After sweep 9 energy=-30.855794064235297  maxlinkdim=300 maxerr=2.90E-04 time=13.607
After sweep 10 energy=-30.863148248587514  maxlinkdim=350 maxerr=2.14E-04 time=16.595
After sweep 11 energy=-30.867344934984626  maxlinkdim=400 maxerr=1.57E-04 time=15.170
After sweep 12 energy=-30.871578755665006  maxlinkdim=500 maxerr=1.03E-04 time=19.419
After sweep 13 energy=-30.87371496908093  maxlinkdim=600 maxerr=6.94E-05 time=18.902
After sweep 14 energy=-30.874905727882773  maxlinkdim=700 maxerr=4.92E-05 time=23.126
After sweep 15 energy=-30.875639635621692  maxlinkdim=800 maxerr=3.44E-05 time=32.455
After sweep 16 energy=-30.87611861877648  maxlinkdim=900 maxerr=2.53E-05 time=29.561
After sweep 17 energy=-30.876438503969833  maxlinkdim=1000 maxerr=1.91E-05 time=34.614
After sweep 18 energy=-30.876667145136047  maxlinkdim=1100 maxerr=1.43E-05 time=38.676
After sweep 19 energy=-30.876834820867906  maxlinkdim=1200 maxerr=1.11E-05 time=42.612
After sweep 20 energy=-30.87696480380277  maxlinkdim=1300 maxerr=8.68E-06 time=46.049
After sweep 21 energy=-30.877069713897775  maxlinkdim=1400 maxerr=6.86E-06 time=56.783
After sweep 22 energy=-30.87715774097999  maxlinkdim=1500 maxerr=5.54E-06 time=58.609
After sweep 23 energy=-30.877234448547988  maxlinkdim=1600 maxerr=4.49E-06 time=67.581
After sweep 24 energy=-30.87730226278709  maxlinkdim=1700 maxerr=3.68E-06 time=73.215
After sweep 25 energy=-30.877363030010535  maxlinkdim=1800 maxerr=3.05E-06 time=83.216
After sweep 26 energy=-30.87741817117471  maxlinkdim=1900 maxerr=2.54E-06 time=95.205
After sweep 27 energy=-30.87746888825509  maxlinkdim=2000 maxerr=2.12E-06 time=104.795
After sweep 28 energy=-30.877504942381787  maxlinkdim=2000 maxerr=2.15E-06 time=106.318
After sweep 29 energy=-30.877539059804803  maxlinkdim=2000 maxerr=2.16E-06 time=101.996
After sweep 30 energy=-30.87757200445173  maxlinkdim=2000 maxerr=2.17E-06 time=100.836
J = 1.8
After sweep 1 energy=-24.384364943044368  maxlinkdim=10 maxerr=5.03E-03 time=64.625
After sweep 2 energy=-27.0437346660988  maxlinkdim=20 maxerr=4.23E-03 time=16.724
After sweep 3 energy=-30.37015494695113  maxlinkdim=40 maxerr=2.63E-03 time=7.770
After sweep 4 energy=-32.61143975913547  maxlinkdim=75 maxerr=6.69E-04 time=9.732
After sweep 5 energy=-33.19557998559162  maxlinkdim=100 maxerr=1.98E-03 time=10.581
After sweep 6 energy=-33.748581547272664  maxlinkdim=150 maxerr=1.54E-03 time=12.374
After sweep 7 energy=-34.016301893562954  maxlinkdim=200 maxerr=5.26E-04 time=14.103
After sweep 8 energy=-34.08581269605583  maxlinkdim=250 maxerr=3.02E-04 time=16.418
After sweep 9 energy=-34.105765007122706  maxlinkdim=300 maxerr=2.39E-04 time=18.149
After sweep 10 energy=-34.112446243475915  maxlinkdim=350 maxerr=2.08E-04 time=20.524
After sweep 11 energy=-34.11577034067862  maxlinkdim=400 maxerr=1.56E-04 time=23.029
After sweep 12 energy=-34.119308061932166  maxlinkdim=500 maxerr=1.24E-04 time=25.847
After sweep 13 energy=-34.12116061537738  maxlinkdim=600 maxerr=8.81E-05 time=32.780
After sweep 14 energy=-34.12237226000684  maxlinkdim=700 maxerr=5.75E-05 time=37.737
After sweep 15 energy=-34.12313945364365  maxlinkdim=800 maxerr=3.65E-05 time=42.071
After sweep 16 energy=-34.12361331646674  maxlinkdim=900 maxerr=2.40E-05 time=52.108
After sweep 17 energy=-34.12389916541997  maxlinkdim=1000 maxerr=1.71E-05 time=40.452
After sweep 18 energy=-34.12408775007227  maxlinkdim=1100 maxerr=1.28E-05 time=35.805
After sweep 19 energy=-34.12421210226832  maxlinkdim=1200 maxerr=1.01E-05 time=72.087
After sweep 20 energy=-34.12429779265584  maxlinkdim=1300 maxerr=8.15E-06 time=81.924
After sweep 21 energy=-34.12435819006554  maxlinkdim=1400 maxerr=6.48E-06 time=91.373
After sweep 22 energy=-34.12440201479305  maxlinkdim=1500 maxerr=5.27E-06 time=102.799
After sweep 23 energy=-34.12443404743133  maxlinkdim=1600 maxerr=4.31E-06 time=101.857
After sweep 24 energy=-34.124459486108115  maxlinkdim=1700 maxerr=3.55E-06 time=126.283
After sweep 25 energy=-34.12447911717711  maxlinkdim=1800 maxerr=2.92E-06 time=143.144
After sweep 26 energy=-34.12449456337042  maxlinkdim=1900 maxerr=2.43E-06 time=151.747
After sweep 27 energy=-34.124506999044996  maxlinkdim=2000 maxerr=1.99E-06 time=153.661
After sweep 28 energy=-34.124507086033276  maxlinkdim=2000 maxerr=2.00E-06 time=137.312
After sweep 29 energy=-34.12450708701296  maxlinkdim=2000 maxerr=2.00E-06 time=98.692
After sweep 30 energy=-34.12450708700913  maxlinkdim=2000 maxerr=2.00E-06 time=98.442
Finished calculating correlation func. Starting to calculate spingap
After sweep 1 energy=-24.113993588188038  maxlinkdim=10 maxerr=5.67E-03 time=2.648
After sweep 2 energy=-27.510878113603784  maxlinkdim=20 maxerr=7.37E-03 time=3.231
After sweep 3 energy=-30.503993154590614  maxlinkdim=40 maxerr=1.59E-03 time=4.462
After sweep 4 energy=-31.458136395959357  maxlinkdim=75 maxerr=2.24E-03 time=5.389
After sweep 5 energy=-32.9288646720187  maxlinkdim=100 maxerr=7.44E-04 time=6.266
After sweep 6 energy=-33.365037028239314  maxlinkdim=150 maxerr=6.37E-04 time=7.383
After sweep 7 energy=-33.6481518658158  maxlinkdim=200 maxerr=8.35E-04 time=7.672
After sweep 8 energy=-33.805044812765004  maxlinkdim=250 maxerr=3.78E-04 time=8.566
After sweep 9 energy=-33.83350371747445  maxlinkdim=300 maxerr=2.51E-04 time=9.540
After sweep 10 energy=-33.84406264726474  maxlinkdim=350 maxerr=1.85E-04 time=10.573
After sweep 11 energy=-33.84990078257802  maxlinkdim=400 maxerr=1.39E-04 time=12.208
After sweep 12 energy=-33.854796201220495  maxlinkdim=500 maxerr=7.85E-05 time=13.614
After sweep 13 energy=-33.85710243435429  maxlinkdim=600 maxerr=4.84E-05 time=15.147
After sweep 14 energy=-33.858271839797794  maxlinkdim=700 maxerr=3.15E-05 time=17.948
After sweep 15 energy=-33.858917329509715  maxlinkdim=800 maxerr=2.22E-05 time=20.120
After sweep 16 energy=-33.85929095446653  maxlinkdim=900 maxerr=1.61E-05 time=23.658
After sweep 17 energy=-33.859519125544466  maxlinkdim=1000 maxerr=1.24E-05 time=30.546
After sweep 18 energy=-33.85966309565883  maxlinkdim=1100 maxerr=9.68E-06 time=33.269
After sweep 19 energy=-33.8597570627044  maxlinkdim=1200 maxerr=7.62E-06 time=41.641
After sweep 20 energy=-33.8598226826495  maxlinkdim=1300 maxerr=6.04E-06 time=72.648
After sweep 21 energy=-33.85986934993137  maxlinkdim=1400 maxerr=4.79E-06 time=88.442
After sweep 22 energy=-33.85990320055549  maxlinkdim=1500 maxerr=3.81E-06 time=99.266
After sweep 23 energy=-33.85992796391489  maxlinkdim=1600 maxerr=3.06E-06 time=110.283
After sweep 24 energy=-33.859946691211206  maxlinkdim=1700 maxerr=2.47E-06 time=122.573
After sweep 25 energy=-33.85996072157901  maxlinkdim=1800 maxerr=2.01E-06 time=135.282
After sweep 26 energy=-33.859971585286424  maxlinkdim=1900 maxerr=1.64E-06 time=143.434
After sweep 27 energy=-33.85998010865191  maxlinkdim=2000 maxerr=1.36E-06 time=158.474
After sweep 28 energy=-33.85998017601285  maxlinkdim=2000 maxerr=1.36E-06 time=152.032
After sweep 29 energy=-33.8599801857299  maxlinkdim=2000 maxerr=1.36E-06 time=158.791
After sweep 30 energy=-33.859980188581254  maxlinkdim=2000 maxerr=1.37E-06 time=166.422
J = 1.9
After sweep 1 energy=-28.108383198197142  maxlinkdim=10 maxerr=1.01E-02 time=6.280
After sweep 2 energy=-31.739584600308305  maxlinkdim=20 maxerr=3.83E-03 time=9.084
After sweep 3 energy=-32.88750349497962  maxlinkdim=40 maxerr=1.69E-03 time=5.050
After sweep 4 energy=-33.54017359294317  maxlinkdim=75 maxerr=1.16E-03 time=6.036
After sweep 5 energy=-34.010305971256884  maxlinkdim=100 maxerr=2.59E-03 time=5.888
After sweep 6 energy=-34.370487719042416  maxlinkdim=150 maxerr=5.19E-04 time=7.013
After sweep 7 energy=-34.48199124141405  maxlinkdim=200 maxerr=4.74E-04 time=7.751
After sweep 8 energy=-34.52640870014365  maxlinkdim=250 maxerr=3.36E-04 time=8.277
After sweep 9 energy=-34.54231955164102  maxlinkdim=300 maxerr=2.81E-04 time=8.889
After sweep 10 energy=-34.54866984294318  maxlinkdim=350 maxerr=2.19E-04 time=9.963
After sweep 11 energy=-34.55193522849785  maxlinkdim=400 maxerr=1.62E-04 time=11.534
After sweep 12 energy=-34.555533325617446  maxlinkdim=500 maxerr=1.28E-04 time=13.203
After sweep 13 energy=-34.55743134809164  maxlinkdim=600 maxerr=9.26E-05 time=14.451
After sweep 14 energy=-34.55865183025462  maxlinkdim=700 maxerr=6.07E-05 time=26.500
After sweep 15 energy=-34.559448845690696  maxlinkdim=800 maxerr=3.82E-05 time=35.639
After sweep 16 energy=-34.559946484459516  maxlinkdim=900 maxerr=2.52E-05 time=44.296
After sweep 17 energy=-34.56024279932751  maxlinkdim=1000 maxerr=1.81E-05 time=45.281
After sweep 18 energy=-34.560441672436525  maxlinkdim=1100 maxerr=1.35E-05 time=54.825
After sweep 19 energy=-34.56057416098155  maxlinkdim=1200 maxerr=1.06E-05 time=69.774
After sweep 20 energy=-34.56066551806509  maxlinkdim=1300 maxerr=8.62E-06 time=89.339
After sweep 21 energy=-34.56072843354169  maxlinkdim=1400 maxerr=6.81E-06 time=88.154
After sweep 22 energy=-34.56077462344771  maxlinkdim=1500 maxerr=5.55E-06 time=95.736
After sweep 23 energy=-34.560809302311185  maxlinkdim=1600 maxerr=4.54E-06 time=100.925
After sweep 24 energy=-34.56083553029126  maxlinkdim=1700 maxerr=3.74E-06 time=117.016
