Site,LocalSpin
1,-2.9405505808099974e-12
2,6.242974887049613e-13
3,-5.003187317567659e-12
4,-7.1737407680849685e-12
5,-5.018126539302337e-12
6,6.975173477002938e-13
7,5.919093340467363e-13
8,-9.659712266185672e-13
9,7.359897806762279e-12
10,5.644888108778358e-12
11,-1.7698244324883711e-12
12,4.5116902970760223e-13
13,4.698326146537757e-12
14,-1.0366094240583587e-12
15,-2.74199066230274e-14
16,5.292146477175447e-12
17,-7.784129243959548e-13
18,1.1160489307888988e-12
19,-5.954417780153508e-13
20,-1.5994804205475511e-12
21,-1.8570778595461412e-13
22,-1.386589469125865e-12
23,1.434269369937624e-13
24,2.076824721900925e-12
25,2.043535262882812e-12
26,2.497686316126936e-12
27,1.4496633060634423e-12
28,1.4911403345861552e-12
29,2.2029149338020915e-12
30,-2.9327309919736754e-12
31,-1.9098986625730688e-12
32,2.259989440826844e-12
33,6.536299279602531e-13
34,-4.447057660839576e-12
35,-9.350055452106432e-13
36,-2.589269076924694e-12
