Site,LocalDensity
1,0.47935798211153097
2,0.410930533611632
3,0.14616331315698342
4,0.04426307593310779
5,0.14616676641262372
6,0.41093117282647657
7,0.11574854969773295
8,0.11575138420629522
9,0.5420049895848401
10,0.5276097289282513
11,0.4863530862878857
12,0.4863498015462167
13,0.5276087183196504
14,0.22139743855627525
15,0.22139634411611642
16,0.542002365000563
17,0.4767603545822807
18,0.4767589825099574
19,0.47675986601660775
20,0.47676641397159447
21,0.16442868147268308
22,0.16443276502633278
23,0.47935742782745594
24,0.4863505182837109
25,0.5276077526825527
26,0.5276120234702335
27,0.4863554006934437
28,0.22139691642937515
29,0.22139869592030068
30,0.044264388190020834
31,0.14617027643544994
32,0.4109331752411459
33,0.4109344313432019
34,0.14616898499411224
35,0.1157543779222414
36,0.11575331669110694
