Site,LocalDensity
1,0.40066792034765253
2,0.43015241678886534
3,0.2495603424725916
4,0.10181912026219707
5,0.24956226312921398
6,0.43015220742146854
7,0.1898537576117926
8,0.18985521039723127
9,0.46174153982878946
10,0.4667275488180923
11,0.43809886091938505
12,0.4380977906012436
13,0.46672677106579397
14,0.2256132812731514
15,0.22561342334365098
16,0.461740886573594
17,0.4280423237038801
18,0.42804071103947045
19,0.4280417386080094
20,0.4280454738710035
21,0.17967656514777267
22,0.17967775100031144
23,0.40066744336848353
24,0.4380966826030169
25,0.46672750830075715
26,0.46672907561362414
27,0.43809863630648194
28,0.22561248103046286
29,0.22561293789153097
30,0.101817986443231
31,0.2495599360319104
32,0.430150186072141
33,0.4301513598699344
34,0.24956001198536992
35,0.18985381519282593
36,0.18985403506505277
