Site,LocalSpin
1,-3.524841949170687e-5
2,5.6265448099696025e-5
3,0.00010871509985293376
4,6.04585725509435e-5
5,0.00011468720822896926
6,5.933493588118448e-5
7,8.41901278140697e-5
8,8.87159373571915e-5
9,-3.506809272488015e-5
10,-2.6528502274146483e-5
11,-5.316856583423412e-6
12,-6.741952825025637e-6
13,-2.5021500420000038e-5
14,-6.648166766628098e-6
15,-7.020160238223684e-6
16,3.247810831720542e-5
17,2.5745097770222984e-5
18,-3.1719836055025706e-5
19,-2.8647100902193473e-5
20,2.6397845969876343e-5
21,-2.2877507046565465e-6
22,-8.998146604344578e-7
23,3.2441914341194145e-5
24,2.3815793635384165e-6
25,2.185448271306578e-5
26,2.306420016384614e-5
27,3.4907269281063413e-6
28,3.969484191122813e-6
29,5.134558656040653e-6
30,-5.883727551305173e-5
31,-0.00010694830026652621
32,-5.542383616105248e-5
33,-5.4197308883313644e-5
34,-0.00010518376899142264
35,-7.949579473822722e-5
36,-7.80908900003402e-5
